Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
G5R1_MAIN_01AUG2016	5924069	5924069	1456152	1445666	3022251	33663	2084849	256653	503476	82.4	251738	1042424.5	128326.5
G5R1_MAIN_03OCT2016	8528146	8528146	6957303	457799	1113044	9540	13668862	73292	153372	19.86	76686	6834431	36646
G5R1_MAIN_05JUN2017	8553314	8553314	2024988	2150064	4378262	45208	2962808	369721	627031	82.68	313515.5	1481404	184860.5
G5R1_MAIN_07AUG2017	11311041	11311041	2902937	2791011	5617093	50015	4467987	458464	779393	80.25	389696.5	2233993.5	229232
G5R1_MAIN_09MAY2016	6828883	6828883	2222145	1508784	3097954	36624	3624079	268840	478123	73.47	239061.5	1812039.5	134420
G5R1_MAIN_12JUL2016	10042351	10042351	2022000	2594162	5426189	68503	2384468	495577	1026949	88.13	513474.5	1192234	247788.5
G5R1_MAIN_12SEP2016	7957864	7957864	4843759	1002139	2111966	18921	9179491	168248	301937	42.32	150968.5	4589745.5	84124
G5R1_MAIN_15MAY2017	10458505	10458505	6774305	1199542	2484658	27024	12877667	229112	387783	38.43	193891.5	6438833.5	114556
G5R1_MAIN_17JUL2017	7742289	7742289	1757971	1997844	3986474	40980	2506504	337700	589778	83.81	294889	1253252	168850
G5R1_MAIN_18SEP2017	8575587	8575587	3259793	1686350	3629444	25245	5750119	268948	450029	66.47	225014.5	2875059.5	134474
G5R1_MAIN_20JUN2016	6441413	6441413	1835643	1516009	3089761	32828	2856505	261884	487241	77.83	243620.5	1428252.5	130942
G5R1_MAIN_22AUG2016	9695253	9695253	3227852	1988998	4478403	55610	5138331	381779	824374	73.5	412187	2569165.5	190889.5
G5R1_MAIN_26JUN2017	7526128	7526128	1449202	1994291	4082635	37443	1931659	329704	562155	87.17	281077.5	965829.5	164852
G5R1_MAIN_28AUG2017	13667513	13667513	4688208	2939619	6039686	53210	8010059	463336	796601	70.7	398300.5	4005029.5	231668
G5R1_MAIN_31MAY2016	6310890	6310890	1303276	1732109	3275505	51596	1536426	320143	646791	87.83	323395.5	768213	160071.5
G5R1_NF_01AUG2016	6329412	6329412	1580606	1560091	3188715	37745	2257471	280998	547253	82.17	273626.5	1128735.5	140499
G5R1_NF_03OCT2016	8471997	8471997	5891108	793735	1787154	14315	11370399	132548	250639	32.89	125319.5	5685199.5	66274
G5R1_NF_05JUN2017	9090025	9090025	1999194	2353345	4737486	43957	2881219	391273	637982	84.15	318991	1440609.5	195636.5
G5R1_NF_07AUG2017	8369639	8369639	2008919	2123572	4237148	37613	2997522	352070	593020	82.09	296510	1498761	176035
G5R1_NF_09MAY2016	5473795	5473795	3636310	606842	1230643	18914	6879297	121013	234482	37.16	117241	3439648.5	60506.5
G5R1_NF_12JUL2016	6688179	6688179	1320271	1752400	3615508	39997	1650170	310813	599565	87.66	299782.5	825085	155406.5
G5R1_NF_12SEP2016	9128071	9128071	3915251	1668747	3544073	29203	7014047	272467	485582	61.58	242791	3507023.5	136233.5
G5R1_NF_15MAY2017	8289725	8289725	2878340	1765031	3646354	35159	4869290	304326	512746	70.63	256373	2434645	152163
G5R1_NF_17JUL2017	11171590	11171590	2843660	2778607	5549323	58429	4212839	485852	871771	81.14	435885.5	2106419.5	242926
G5R1_NF_18SEP2017	9929327	9929327	6024345	1226090	2678892	22490	11428739	205506	369465	42.45	184732.5	5714369.5	102753
G5R1_NF_20JUN2016	6116500	6116500	1282359	1624646	3209495	40969	1636767	291360	554653	86.62	277326.5	818383.5	145680
G5R1_NF_22AUG2016	6088961	6088961	1845864	1343729	2899368	29998	2924930	240872	465930	75.98	232965	1462465	120436
G5R1_NF_26JUN2017	8312787	8312787	1574889	2158617	4579281	39964	2107873	352031	609946	87.32	304973	1053936.5	176015.5
G5R1_NF_28AUG2017	10143281	10143281	4617917	1836820	3688544	31779	8350451	309511	512314	58.84	256157	4175225.5	154755.5
G5R1_NF_31MAY2016	7776723	7776723	1582351	2093678	4100694	57544	1911438	387108	751068	87.71	375534	955719	193554
G5R2_MAIN_01AUG2016	12746203	12746203	3619106	3061870	6065227	76051	5492037	545378	1048695	78.46	524347.5	2746018.5	272689
G5R2_MAIN_03OCT2016	8873165	8873165	6960913	614411	1297841	13859	13564722	111252	218134	23.56	109067	6782361	55626
G5R2_MAIN_05JUN2017	7511183	7511183	1463297	2048033	3999853	40811	1950198	339082	555692	87.02	277846	975099	169541
G5R2_MAIN_07AUG2017	7216713	7216713	2112051	1717345	3387317	30450	3415454	277888	469860	76.34	234930	1707727	138944
G5R2_MAIN_09MAY2016	5682372	5682372	3473446	712198	1496728	21090	6474973	148098	281641	43.03	140820.5	3237486.5	74049
G5R2_MAIN_12JUL2016	6753075	6753075	1310031	1818576	3624468	50139	1530518	329657	659609	88.67	329804.5	765259	164828.5
G5R2_MAIN_12SEP2016	9486264	9486264	3690990	1837668	3957606	32807	6451672	307112	557582	65.99	278791	3225836	153556
G5R2_MAIN_15MAY2017	7467886	7467886	4233223	1069265	2165398	22293	7918946	186316	316598	46.98	158299	3959473	93158
G5R2_MAIN_17JUL2017	7208024	7208024	5433096	572330	1202598	11060	10562960	103057	178055	26.73	89027.5	5281480	51528.5
G5R2_MAIN_18SEP2017	8024401	8024401	6459849	514615	1049937	9503	12660888	86882	152922	21.11	76461	6330444	43441
G5R2_MAIN_20JUN2016	6347927	6347927	1217875	1707988	3422064	38339	1517245	293998	547829	88.05	273914.5	758622.5	146999
G5R2_MAIN_22AUG2016	13770800	13770800	4990962	2689701	6090137	60203	8397597	481061	982860	69.51	491430	4198798.5	240530.5
G5R2_MAIN_26JUN2017	6061892	6061892	1119260	1596606	3346026	29910	1474539	257377	446784	87.84	223392	737269.5	128688.5
G5R2_MAIN_28AUG2017	8514153	8514153	2449546	1973315	4091292	28016	4071428	298195	473437	76.09	236718.5	2035714	149097.5
G5R2_MAIN_31MAY2016	11950005	11950005	2300375	3310640	6338990	81232	2793577	577471	1067238	88.31	533619	1396788.5	288735.5
G5R2_NF_01AUG2016	15787307	15787307	3527345	4096870	8163092	92069	4861805	704861	1303886	84.6	651943	2430902.5	352430.5
G5R2_NF_03OCT2016	8899698	8899698	6486403	745044	1668251	13475	12583048	126687	236121	29.31	118060.5	6291524	63343.5
G5R2_NF_05JUN2017	7304304	7304304	1576296	1961874	3766134	36129	2260784	313004	506546	84.52	253273	1130392	156502
G5R2_NF_07AUG2017	7273659	7273659	2119237	1739615	3414807	29421	3433221	277224	469187	76.4	234593.5	1716610.5	138612
