Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
G5R2_NF_09MAY2016	6700488	6700488	3020432	1220338	2459718	41653	5214349	242059	501150	61.09	250575	2607174.5	121029.5
G5R2_NF_12JUL2016	6671812	6671812	1282280	1729640	3659892	38331	1605511	300233	582154	87.97	291077	802755.5	150116.5
G5R2_NF_12SEP2016	8925694	8925694	4143314	1536678	3245702	27991	7524920	252993	452733	57.85	226366.5	3762460	126496.5
G5R2_NF_15MAY2017	8323470	8323470	3523829	1625817	3173824	40862	6136074	290545	539315	63.14	269657.5	3068037	145272.5
G5R2_NF_17JUL2017	8160149	8160149	1716445	2195245	4248459	40192	2415698	351622	585186	85.2	292593	1207849	175811
G5R2_NF_18SEP2017	7304988	7304988	4183023	1018762	2103203	19189	7842125	174366	311177	46.32	155588.5	3921062.5	87183
G5R2_NF_20JUN2016	6249934	6249934	1249923	1659379	3340632	44367	1525278	295339	590495	87.8	295247.5	762639	147669.5
G5R2_NF_22AUG2016	4718274	4718274	1265037	1116687	2336550	20399	1976894	184386	327996	79.05	163998	988447	92193
G5R2_NF_26JUN2017	6279962	6279962	1366820	1608392	3304750	28086	2032943	242074	402451	83.81	201225.5	1016471.5	121037
G5R2_NF_28AUG2017	8910476	8910476	2607635	2119247	4183594	36681	4221521	343621	576766	76.31	288383	2110760.5	171810.5
G5R2_NF_31MAY2016	9358299	9358299	1923421	2511340	4923538	75510	2217111	485541	993170	88.15	496585	1108555.5	242770.5
G5R3_MAIN_01AUG2016	6060102	6060102	1561741	1509213	2989148	40591	2222715	277660	541925	81.66	270962.5	1111357.5	138830
G5R3_MAIN_03OCT2016	7906366	7906366	6674752	392616	838998	8343	13126365	70369	136084	16.99	68042	6563182.5	35184.5
G5R3_MAIN_05JUN2017	9867655	9867655	2286464	2479996	5101195	53013	3285175	427055	754672	83.35	377336	1642587.5	213527.5
G5R3_MAIN_07AUG2017	7289253	7289253	2676426	1536140	3076687	27866	4611208	251683	434229	68.37	217114.5	2305604	125841.5
G5R3_MAIN_09MAY2016	5436507	5436507	1281435	1354590	2800482	43951	1692484	262654	519830	84.43	259915	846242	131327
G5R3_MAIN_12JUL2016	6182923	6182923	1174216	1588331	3420376	34419	1464700	279124	535770	88.16	267885	732350	139562
G5R3_MAIN_12SEP2016	7938601	7938601	3839040	1285111	2814450	19948	7100308	196090	341786	55.28	170893	3550154	98045
G5R3_MAIN_15MAY2017	8158837	8158837	3899230	1408919	2850688	29201	7081535	246335	412188	56.6	206094	3540767.5	123167.5
G5R3_MAIN_17JUL2017	6238231	6238231	1372885	1616742	3248604	33034	1936207	272445	471050	84.48	235525	968103.5	136222.5
G5R3_MAIN_18SEP2017	10504177	10504177	8100037	778663	1625477	13776	15816213	129058	227251	24.71	113625.5	7908106.5	64529
G5R3_MAIN_20JUN2016	6442699	6442699	1233048	1760037	3449614	42577	1483719	313778	583445	88.49	291722.5	741859.5	156889
G5R3_MAIN_22AUG2016	5255407	5255407	2735831	799876	1719700	15853	5038921	139219	261816	52.06	130908	2519460.5	69609.5
G5R3_MAIN_26JUN2017	2448620	2448620	525389	632956	1290275	12197	750207	102885	173292	84.68	86646	375103.5	51442.5
G5R3_MAIN_28AUG2017	11104501	11104501	4399911	2140566	4564024	40016	7718423	358564	642803	65.25	321401.5	3859211.5	179282
G5R3_MAIN_31MAY2016	6582349	6582349	1380358	1838851	3363140	63227	1538761	353183	742318	88.31	371159	769380.5	176591.5
G5R3_NF_01AUG2016	5905510	5905510	1505950	1499344	2900216	41977	2097393	279217	551336	82.24	275668	1048696.5	139608.5
G5R3_NF_03OCT2016	9441689	9441689	4544311	1504000	3393378	25368	8326331	252479	459076	55.91	229538	4163165.5	126239.5
G5R3_NF_05JUN2017	10152388	10152388	2149194	2673066	5330128	47363	3076553	434462	692647	84.85	346323.5	1538276.5	217231
G5R3_NF_07AUG2017	10036324	10036324	2953661	2374764	4707899	39815	4811146	384580	631966	76.03	315983	2405573	192290
G5R3_NF_09MAY2016	6196018	6196018	1647590	1486118	3062310	42979	2388348	281741	539133	80.73	269566.5	1194174	140870.5
G5R3_NF_12JUL2016	6426349	6426349	1260190	1676984	3489175	39320	1551100	301686	588954	87.93	294477	775550	150843
G5R3_NF_12SEP2016	8156444	8156444	4534873	1130881	2490690	20146	8480179	193074	356201	48.02	178100.5	4240089.5	96537
G5R3_NF_15MAY2017	9592838	9592838	2424388	2351406	4817044	49710	3611993	412157	725206	81.17	362603	1805996.5	206078.5
G5R3_NF_17JUL2017	10462768	10462768	2263460	2691366	5507942	53410	3164332	457926	797842	84.88	398921	1582166	228963
G5R3_NF_18SEP2017	6948691	6948691	4290948	853781	1803962	16259	8128983	148253	272142	41.51	136071	4064491.5	74126.5
G5R3_NF_20JUN2016	6317596	6317596	1634875	1572404	3110317	39921	2352358	289202	548348	81.38	274174	1176179	144601
G5R3_NF_22AUG2016	5920203	5920203	2618905	1072643	2228655	25018	4620357	191366	376051	60.98	188025.5	2310178.5	95683
G5R3_NF_26JUN2017	10048507	10048507	2011011	2639317	5398179	50763	2744427	434443	741626	86.34	370813	1372213.5	217221.5
G5R3_NF_28AUG2017	10324428	10324428	3584745	2282272	4457411	43443	6030866	385727	666011	70.79	333005.5	3015433	192863.5
G5R3_NF_31MAY2016	5755740	5755740	1142943	1583945	3028852	38636	1437524	277027	494063	87.51	247031.5	718762	138513.5
G5R4_MAIN_01AUG2016	6306715	6306715	1727970	1571056	3007689	51862	2435594	295180	621442	80.69	310721	1217797	147590
G5R4_MAIN_03OCT2016	11550331	11550331	8899771	852411	1798149	19326	17317833	150953	292104	25.03	146052	8658916.5	75476.5
G5R4_MAIN_05JUN2017	8550024	8550024	1842922	2233078	4474024	43690	2607402	371776	619286	84.75	309643	1303701	185888
G5R4_MAIN_07AUG2017	8133392	8133392	2631169	1861518	3640705	33651	4377072	303550	514414	73.09	257207	2188536	151775
G5R4_MAIN_09MAY2016	5324879	5324879	1197780	1334979	2792120	38844	1578546	250887	488439	85.18	244219.5	789273	125443.5
G5R4_MAIN_12JUL2016	6976158	6976158	1448500	1802097	3725561	37731	1940227	308590	572721	86.09	286360.5	970113.5	154295
G5R4_MAIN_12SEP2016	7595791	7595791	5119995	813128	1662668	15763	9825193	136815	246456	35.32	123228	4912596.5	68407.5
G5R4_MAIN_15MAY2017	8380237	8380237	5017135	1096961	2266141	22677	9460688	195319	332909	43.55	166454.5	4730344	97659.5
G5R4_MAIN_17JUL2017	7983723	7983723	1874726	2057118	4051879	39053	2767152	336613	567581	82.67	283790.5	1383576	168306.5
G5R4_MAIN_18SEP2017	8179690	8179690	5007432	1020513	2151745	18142	9518135	166526	293919	41.82	146959.5	4759067.5	83263
G5R4_MAIN_20JUN2016	7732527	7732527	1591137	2027265	4114125	49360	2033463	362162	687929	86.85	343964.5	1016731.5	181081
G5R4_MAIN_22AUG2016	5898471	5898471	2523538	1098392	2276541	22756	4474681	184826	342057	62.07	171028.5	2237340.5	92413
G5R4_MAIN_26JUN2017	8084363	8084363	1701411	2075632	4307320	38304	2423626	333058	569530	85.01	284765	1211813	166529
G5R4_MAIN_28AUG2017	7889134	7889134	3305545	1524144	3059445	26467	5905870	243398	408888	62.57	204444	2952935	121699
G5R4_MAIN_31MAY2016	6691560	6691560	1332557	1877796	3481207	57276	1540442	347119	663001	88.49	331500.5	770221	173559.5
G5R4_NF_01AUG2016	13151939	13151939	3072893	3331311	6747735	88651	4137597	611248	1219639	84.27	609819.5	2068798.5	305624
G5R4_NF_03OCT2016	7838486	7838486	7059512	251541	527433	4433	13991491	42673	75994	10.75	37997	6995745.5	21336.5
G5R4_NF_05JUN2017	7739159	7739159	1645529	2032996	4060634	34723	2374254	325841	521517	84.66	260758.5	1187127	162920.5
G5R4_NF_07AUG2017	7738391	7738391	1757720	1903467	4077204	27372	2806012	254418	400266	81.87	200133	1403006	127209
G5R4_NF_09MAY2016	5737475	5737475	1620589	1353164	2763722	47393	2324669	267095	554628	79.74	277314	1162334.5	133547.5
G5R4_NF_12JUL2016	6460341	6460341	1462439	1617602	3380300	38351	1967718	296123	584335	84.77	292167.5	983859	148061.5
G5R4_NF_12SEP2016	7547720	7547720	3911408	1193753	2442559	24415	7191368	205609	377009	52.36	188504.5	3595684	102804.5
G5R4_NF_15MAY2017	8367097	8367097	1773449	2215370	4378278	49983	2384309	382430	680193	85.75	340096.5	1192154.5	191215
G5R4_NF_17JUL2017	7796437	7796437	1524837	2118477	4153123	38725	2069273	339969	562982	86.73	281491	1034636.5	169984.5
G5R4_NF_18SEP2017	7689685	7689685	2970954	1518231	3200500	26337	5199207	251213	438814	66.19	219407	2599603.5	125606.5
G5R4_NF_20JUN2016	6936916	6936916	1348764	1903309	3684843	45806	1672271	329571	604074	87.95	302037	836135.5	164785.5
G5R4_NF_22AUG2016	11972027	11972027	3389837	2764052	5818138	62974	5224274	484417	945035	78.18	472517.5	2612137	242208.5
G5R4_NF_26JUN2017	7206346	7206346	1389348	1942146	3874852	40085	1809846	321279	567401	87.44	283700.5	904923	160639.5
G5R4_NF_28AUG2017	9056480	9056480	2455278	2102871	4498331	35105	3932863	332459	575024	78.29	287512	1966431.5	166229.5
G5R4_NF_31MAY2016	5931777	5931777	1159475	1686016	3086286	41825	1426921	294951	513428	87.97	256714	713460.5	147475.5
G6R1_MAIN_01AUG2016	5657378	5657378	1541652	1089881	3025845	40773	1923929	335324	742505	83	371252.5	961964.5	167662
G6R1_MAIN_03OCT2016	9488885	9488885	2461597	1741418	5285870	51850	3303023	499535	1016936	82.6	508468	1651511.5	249767.5
G6R1_MAIN_07NOV2016	6905794	6905794	5755987	295521	854286	8667	11238404	87056	169180	18.63	84590	5619202	43528
G6R1_MAIN_09MAY2016	6713739	6713739	1610381	1354123	3749235	46666	1894566	401737	831127	85.89	415563.5	947283	200868.5
G6R1_MAIN_12JUL2016	5378728	5378728	1452835	1024644	2901249	39090	1761603	325080	740807	83.62	370403.5	880801.5	162540
G6R1_MAIN_12SEP2016	8157259	8157259	2524893	1449713	4182653	42646	3738307	412192	813995	77.09	406997.5	1869153.5	206096
G6R1_MAIN_20JUN2016	6010405	6010405	1447319	1214203	3348883	43976	1664886	364186	777614	86.15	388807	832443	182093
G6R1_MAIN_22AUG2016	5586492	5586492	1624041	1037713	2924738	34904	2198847	317635	661792	80.32	330896	1099423.5	158817.5
G6R1_MAIN_31MAY2016	5336461	5336461	1251574	1086561	2998326	36898	1493392	313668	622292	86.01	311146	746696	156834
G6R1_NF_01AUG2016	5928912	5928912	1547247	1151939	3229726	43758	1858355	356857	791766	84.33	395883	929177.5	178428.5
G6R1_NF_03OCT2016	8637188	8637188	2735206	1376814	4525168	39149	4277880	377917	736317	75.24	368158.5	2138940	188958.5
G6R1_NF_07NOV2016	6858763	6858763	5312211	385084	1161468	10203	10296128	107520	200368	24.94	100184	5148064	53760
G6R1_NF_09MAY2016	7527497	7527497	1753776	1513495	4260226	51193	2021249	448858	935059	86.57	467529.5	1010624.5	224429
G6R1_NF_12JUL2016	6590819	6590819	1599916	1304982	3685921	44772	1893643	391435	825210	85.63	412605	946821.5	195717.5
G6R1_NF_12SEP2016	9016718	9016718	3077203	1472302	4467213	37137	4974284	391033	714815	72.42	357407.5	2487142	195516.5
G6R1_NF_20JUN2016	7136929	7136929	1743329	1420818	3972782	48552	2067711	424111	897732	85.51	448866	1033855.5	212055.5
G6R1_NF_22AUG2016	8977689	8977689	2388970	1676297	4912422	47243	3324943	466485	892026	81.48	446013	1662471.5	233242.5
G6R1_NF_31MAY2016	6292542	6292542	1489763	1279759	3523020	41648	1804875	367530	723825	85.66	361912.5	902437.5	183765
G6R2_MAIN_01AUG2016	6082749	6082749	1698715	1157020	3227014	43956	2152793	357133	799592	82.3	399796	1076396.5	178566.5
G6R2_MAIN_03OCT2016	9219877	9219877	3357666	1444667	4417544	41205	5387384	415597	829941	70.78	414970.5	2693692	207798.5
G6R2_MAIN_07NOV2016	8733100	8733100	4571546	1050358	3111196	29474	8202283	300569	581292	53.04	290646	4101141.5	150284.5
G6R2_MAIN_09MAY2016	6692593	6692593	1602062	1345122	3745409	47626	1865188	397591	846093	86.07	423046.5	932594	198795.5
G6R2_MAIN_12JUL2016	11970111	11970111	2895603	2347362	6727146	78032	3438004	702734	1494404	85.64	747202	1719002	351367
G6R2_MAIN_12SEP2016	9526453	9526453	2826535	1702438	4997480	50650	4089727	490473	971570	78.53	485785	2044863.5	245236.5
G6R2_MAIN_20JUN2016	13325217	13325217	3241993	2670435	7412789	92422	3881782	785245	1632115	85.43	816057.5	1940891	392622.5
G6R2_MAIN_22AUG2016	10933944	10933944	3254837	1989952	5689155	66641	4533231	588213	1254948	79.27	627474	2266615.5	294106.5
G6R2_MAIN_31MAY2016	6729977	6729977	1505675	1371904	3852398	42263	1896177	364515	666132	85.91	333066	948088.5	182257.5
G6R2_NF_01AUG2016	6419666	6419666	1702790	1240813	3476063	44493	2135587	372488	808519	83.37	404259.5	1067793.5	186244
G6R2_NF_03OCT2016	9172480	9172480	2874812	1498645	4799023	44312	4431806	417901	811293	75.84	405646.5	2215903	208950.5
G6R2_NF_07NOV2016	7370105	7370105	5478922	483954	1407229	13488	10528622	140108	262138	28.57	131069	5264311	70054
G6R2_NF_09MAY2016	13316083	13316083	3166964	2673265	7475854	94385	3666061	790979	1688118	86.23	844059	1833030.5	395489.5
G6R2_NF_12JUL2016	17866546	17866546	4280382	3497591	10088573	118777	5045081	1036546	2241583	85.88	1120791.5	2522540.5	518273
G6R2_NF_12SEP2016	9870656	9870656	2774511	1816188	5279957	52384	3908634	518357	1017263	80.2	508631.5	1954317	259178.5
G6R2_NF_20JUN2016	6682956	6682956	1607588	1334793	3740575	45159	1940048	386271	798539	85.49	399269.5	970024	193135.5
G6R2_NF_22AUG2016	9700669	9700669	2595664	1801206	5303799	47381	3684116	493328	919122	81.01	459561	1842058	246664
G6R2_NF_31MAY2016	7771064	7771064	1816055	1573889	4381120	54639	2127264	454252	941316	86.31	470658	1063632	227126
G6R3_MAIN_01AUG2016	5440967	5440967	1402848	1064358	2973761	39434	1666895	328141	731792	84.68	365896	833447.5	164070.5
G6R3_MAIN_03OCT2016	7608735	7608735	2316489	1318886	3973360	38885	3375044	392504	787660	77.82	393830	1687522	196252
G6R3_MAIN_07NOV2016	7832562	7832562	4173975	896752	2761835	23725	7607045	241978	451477	51.44	225738.5	3803522.5	120989
G6R3_MAIN_09MAY2016	7145090	7145090	1701816	1464125	3979149	53488	1950376	434284	911996	86.35	455998	975188	217142
G6R3_MAIN_12JUL2016	5912717	5912717	1438986	1177116	3296615	43212	1645834	356143	789571	86.08	394785.5	822917	178071.5
G6R3_MAIN_12SEP2016	7433032	7433032	2494299	1254768	3683965	35988	3865913	355145	695564	74	347782	1932956.5	177572.5
G6R3_MAIN_20JUN2016	7145612	7145612	1712295	1417648	4015669	48108	2019406	423645	885323	85.87	442661.5	1009703	211822.5
G6R3_MAIN_22AUG2016	4730626	4730626	1364908	866940	2498778	25932	1939734	253475	484743	79.5	242371.5	969867	126737.5
G6R3_MAIN_31MAY2016	6331750	6331750	1532502	1280206	3519042	44993	1876889	370429	727700	85.18	363850	938444.5	185214.5
G6R3_NF_01AUG2016	5711239	5711239	1804507	1027531	2879201	37802	2515244	317300	700866	77.98	350433	1257622	158650
G6R3_NF_03OCT2016	9198716	9198716	2427992	1713690	5057034	47461	3287389	498172	975501	82.13	487750.5	1643694.5	249086
G6R3_NF_07NOV2016	20875176	20875176	13363356	1957360	5554460	82553	24376663	634916	1550027	41.61	775013.5	12188331.5	317458
G6R3_NF_09MAY2016	6837832	6837832	1583997	1391488	3862347	47531	1834299	407015	831618	86.59	415809	917149.5	203507.5
G6R3_NF_12JUL2016	5700114	5700114	1427727	1118545	3153842	38465	1734292	335607	708625	84.79	354312.5	867146	167803.5
G6R3_NF_12SEP2016	7685321	7685321	2242534	1404783	4038004	42458	3157665	413319	829168	79.46	414584	1578832.5	206659.5
G6R3_NF_20JUN2016	6703466	6703466	1659684	1328082	3715700	42490	2063828	388663	781897	84.61	390948.5	1031914	194331.5
G6R3_NF_22AUG2016	9235360	9235360	2639239	1688743	4907378	47235	3798630	470858	914520	79.43	457260	1899315	235429
G6R3_NF_31MAY2016	5736908	5736908	1382425	1169651	3184832	40203	1657830	340325	686289	85.55	343144.5	828915	170162.5
G6R4_MAIN_01AUG2016	5908281	5908281	1708902	1103453	3095926	39221	2286393	335341	717628	80.65	358814	1143196.5	167670.5
G6R4_MAIN_03OCT2016	10735815	10735815	3743428	1729641	5262746	53291	5843007	511464	1025803	72.79	512901.5	2921503.5	255732
G6R4_MAIN_07NOV2016	7583071	7583071	5797367	451814	1333890	13091	11186062	130584	251906	26.24	125953	5593031	65292
G6R4_MAIN_09MAY2016	12361687	12361687	2856755	2533104	6971828	86453	3362351	727701	1450552	86.4	725276	1681175.5	363850.5
G6R4_MAIN_12JUL2016	6499072	6499072	1609380	1283217	3606475	44978	1929334	382707	816763	85.16	408381.5	964667	191353.5
G6R4_MAIN_12SEP2016	9689783	9689783	3691284	1535878	4462621	49659	5872234	480640	930376	69.7	465188	2936117	240320
G6R4_MAIN_20JUN2016	6695207	6695207	1830008	1291712	3573487	45933	2420116	375021	773013	81.93	386506.5	1210058	187510.5
G6R4_MAIN_22AUG2016	12007829	12007829	3721614	2160757	6125458	74873	5274667	645579	1373236	78.04	686618	2637333.5	322789.5
G6R4_MAIN_31MAY2016	6607123	6607123	1681607	1312124	3613392	47965	2080217	383877	803190	84.26	401595	1040108.5	191938.5
G6R4_NF_01AUG2016	13108055	13108055	3678518	2445919	6983618	81897	4905754	730844	1556644	81.29	778322	2452877	365422
G6R4_NF_03OCT2016	9101083	9101083	3551014	1383590	4166479	38114	5888101	396550	741149	67.65	370574.5	2944050.5	198275
G6R4_NF_07NOV2016	7669227	7669227	5589271	533522	1546434	15191	10700795	154977	292388	30.24	146194	5350397.5	77488.5
G6R4_NF_09MAY2016	6607949	6607949	1531240	1367095	3709614	50180	1718956	401578	841586	86.99	420793	859478	200789
G6R4_NF_12JUL2016	14071595	14071595	3489645	2763636	7818314	94458	4215905	822608	1751861	85.02	875930.5	2107952.5	411304
G6R4_NF_12SEP2016	9844371	9844371	2786788	1767111	5290472	46027	4119216	480535	881771	79.08	440885.5	2059608	240267.5
G6R4_NF_20JUN2016	12452913	12452913	2790183	2311945	7350785	52102	4013587	556051	906524	83.88	453262	2006793.5	278025.5
G6R4_NF_22AUG2016	10229978	10229978	2836757	1890436	5502785	53439	4025670	532285	1008681	80.32	504340.5	2012835	266142.5
G6R4_NF_31MAY2016	7581116	7581116	1650310	1526959	4403847	41472	2155249	390391	672036	85.79	336018	1077624.5	195195.5
