Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
G5R2_MAIN_07AUG2017	1443268	1443268	1393160	32384	17724	310	2773406	6768	5526	3.92	2763.0	1386703.0	3384.0
G5R2_MAIN_09MAY2016	3101528	3101528	3101387	105	36	3	6202593	122	53	0.01	26.5	3101296.5	61.0
G5R2_MAIN_12JUL2016	471083	471083	465204	3568	2311	74	928624	797	839	1.44	419.5	464312.0	398.5
G5R2_MAIN_12SEP2016	2921444	2921444	2772511	76346	72587	986	5508522	13224	21304	5.72	10652.0	2754261.0	6612.0
G5R2_MAIN_15MAY2017	3786213	3786213	3785004	284	925	20	7569018	324	626	0.05	313.0	3784509.0	162.0
G5R2_MAIN_17JUL2017	5181103	5181103	5144882	21523	14698	244	10280061	4349	4866	0.79	2433.0	5140030.5	2174.5
G5R2_MAIN_18SEP2017	6242900	6242900	6165794	59802	17304	554	12317092	7222	6166	1.35	3083.0	6158546.0	3611.0
G5R2_MAIN_20JUN2016	485888	485888	483323	1740	825	19	965918	316	374	0.6	187.0	482959.0	158.0
G5R2_MAIN_22AUG2016	3722850	3722850	3434303	143126	145421	2627	6790013	26950	46389	8.81	23194.5	3395006.5	13475.0
G5R2_MAIN_26JUN2017	486519	486519	485201	1096	222	13	969989	266	121	0.31	60.5	484994.5	133.0
G5R2_MAIN_28AUG2017	1740028	1740028	1603503	64144	72381	659	3175135	12216	18337	8.76	9168.5	1587567.5	6108.0
G5R2_MAIN_31MAY2016	880263	880263	879738	459	66	3	1759279	82	109	0.07	54.5	879639.5	41.0
G5R2_NF_01AUG2016	1779384	1779384	1655273	68625	55486	1233	3277833	12930	17317	7.89	8658.5	1638916.5	6465.0
G5R2_NF_03OCT2016	6161782	6161782	6093538	40692	27552	421	12170029	7074	9131	1.25	4565.5	6085014.5	3537.0
G5R2_NF_05JUN2017	841209	841209	837908	2777	524	15	1674548	942	296	0.47	148.0	837274.0	471.0
G5R2_NF_07AUG2017	1448750	1448750	1401798	29816	17136	324	2793489	4476	4983	3.59	2491.5	1396744.5	2238.0
G5R2_NF_09MAY2016	2401544	2401544	2401280	223	41	19	4802323	119	80	0.02	40.0	2401161.5	59.5
G5R2_NF_12JUL2016	517521	517521	513852	2841	828	44	1026744	511	361	0.8	180.5	513372.0	255.5
G5R2_NF_12SEP2016	3515989	3515989	3416762	58749	40478	662	6810628	8692	12880	3.15	6440.0	3405314.0	4346.0
G5R2_NF_15MAY2017	2808678	2808678	2807947	281	450	7	5615276	299	305	0.04	152.5	2807638.0	149.5
G5R2_NF_17JUL2017	878872	878872	867954	8445	2473	74	1732648	2045	1067	1.43	533.5	866324.0	1022.5
G5R2_NF_18SEP2017	3749484	3749484	3641489	61503	46492	692	7254314	11850	15430	3.26	7715.0	3627157.0	5925.0
G5R2_NF_20JUN2016	496681	496681	493727	2456	498	48	986600	462	296	0.68	148.0	493300.0	231.0
G5R2_NF_22AUG2016	810896	810896	768826	20358	21712	289	1526515	4094	6465	5.87	3232.5	763257.5	2047.0
G5R2_NF_26JUN2017	783039	783039	778044	4139	856	28	1554607	962	463	0.73	231.5	777303.5	481.0
G5R2_NF_28AUG2017	1779108	1779108	1685345	51658	42105	575	3347214	9957	12369	5.93	6184.5	1673607.0	4978.5
G5R2_NF_31MAY2016	675395	675395	675033	314	48	8	1349912	93	45	0.06	22.5	674956.0	46.5
G5R3_MAIN_01AUG2016	861641	861641	819899	23624	18118	563	1628144	4315	6213	5.52	3106.5	814072.0	2157.5
G5R3_MAIN_03OCT2016	6493828	6493828	6440236	38999	14593	572	12868276	5354	5698	0.92	2849.0	6434138.0	2677.0
G5R3_MAIN_05JUN2017	1243302	1243302	1240713	2280	309	19	2480474	698	216	0.25	108.0	1240237.0	349.0
G5R3_MAIN_07AUG2017	2063073	2063073	1922184	68318	72571	831	3807380	13434	21892	7.73	10946.0	1903690.0	6717.0
G5R3_MAIN_09MAY2016	625791	625791	625615	145	31	3	1251038	134	52	0.04	26.0	625519.0	67.0
G5R3_MAIN_12JUL2016	466844	466844	462440	2592	1812	46	923696	482	610	1.07	305.0	461848.0	241.0
G5R3_MAIN_12SEP2016	3352854	3352854	3208334	69612	74908	820	6382562	12357	20109	4.82	10054.5	3191281.0	6178.5
G5R3_MAIN_15MAY2017	3314050	3314050	3313904	123	23	0	6627643	92	73	0.01	36.5	3313821.5	46.0
G5R3_MAIN_17JUL2017	714847	714847	679283	19631	15933	255	1348985	4000	5071	5.65	2535.5	674492.5	2000.0
G5R3_MAIN_18SEP2017	7778735	7778735	7637229	117200	24306	947	15254358	10554	7652	1.95	3826.0	7627179.0	5277.0
G5R3_MAIN_20JUN2016	457174	457174	456319	717	138	14	912361	142	107	0.22	53.5	456180.5	71.0
G5R3_MAIN_22AUG2016	2382356	2382356	2251621	64469	66266	1043	4468109	12425	20622	6.22	10311.0	2234054.5	6212.5
G5R3_MAIN_26JUN2017	279241	279241	276524	1987	730	18	552198	516	298	1.13	149.0	276099.0	258.0
G5R3_MAIN_28AUG2017	3504796	3504796	3291966	107386	105444	1415	6526652	21843	32607	6.89	16303.5	3263326.0	10921.5
G5R3_MAIN_31MAY2016	471672	471672	471486	152	34	13	942852	68	26	0.05	13.0	471426.0	34.0
G5R3_NF_01AUG2016	799820	799820	777746	16634	5440	439	1550636	1997	1981	3.06	990.5	775318.0	998.5
G5R3_NF_03OCT2016	3908188	3908188	3863092	26472	18624	249	7714943	4598	6145	1.3	3072.5	3857471.5	2299.0
G5R3_NF_05JUN2017	1134816	1134816	1130962	3290	564	15	2260495	1006	393	0.4	196.5	1130247.5	503.0
G5R3_NF_07AUG2017	2035722	2035722	1880555	74304	80863	814	3720860	15214	23408	8.61	11704.0	1860430.0	7607.0
G5R3_NF_09MAY2016	949229	949229	949101	109	19	1	1898054	114	32	0.02	16.0	949027.0	57.0
G5R3_NF_12JUL2016	492876	492876	489658	2425	793	39	978416	474	348	0.74	174.0	489208.0	237.0
G5R3_NF_12SEP2016	4046486	4046486	3955404	50103	40979	578	7887497	8765	13390	2.54	6695.0	3943748.5	4382.5
G5R3_NF_15MAY2017	1425825	1425825	1424058	1599	168	15	2847515	293	278	0.15	139.0	1423757.5	146.5
G5R3_NF_17JUL2017	1151254	1151254	1136451	10981	3822	102	2269352	1893	1453	1.44	726.5	1134676.0	946.5
G5R3_NF_18SEP2017	3915556	3915556	3829518	67652	18386	645	7643415	7994	6337	2.4	3168.5	3821707.5	3997.0
G5R3_NF_20JUN2016	913021	913021	911610	1205	206	24	1822802	226	144	0.18	72.0	911401.0	113.0
G5R3_NF_22AUG2016	2128589	2128589	1964607	75665	88317	1551	3879636	17195	29281	8.87	14640.5	1939818.0	8597.5
G5R3_NF_26JUN2017	959290	959290	957005	1724	561	14	1913190	516	276	0.28	138.0	956595.0	258.0
G5R3_NF_28AUG2017	2648353	2648353	2420622	109492	118239	1483	4777240	23946	37092	9.81	18546.0	2388620.0	11973.0
G5R3_NF_31MAY2016	474910	474910	474311	421	178	9	948389	120	95	0.15	47.5	474194.5	60.0
G5R4_MAIN_01AUG2016	964611	964611	902986	33109	28516	1082	1786232	6695	10881	7.41	5440.5	893116.0	3347.5
G5R4_MAIN_03OCT2016	8512942	8512942	8439036	55279	18627	839	16862185	6652	7557	0.96	3778.5	8431092.5	3326.0
G5R4_MAIN_05JUN2017	962048	962048	958594	3005	449	24	1915917	916	307	0.43	153.5	957958.5	458.0
G5R4_MAIN_07AUG2017	1903154	1903154	1755625	82158	65371	860	3476685	13914	18931	8.66	9465.5	1738342.5	6957.0
G5R4_MAIN_09MAY2016	570150	570150	569987	115	48	5	1139729	164	71	0.05	35.5	569864.5	82.0
G5R4_MAIN_12JUL2016	683519	683519	658137	17673	7709	220	1311024	2408	2402	4.1	1201.0	655512.0	1204.0
G5R4_MAIN_12SEP2016	4780848	4780848	4645657	82645	52546	1016	9260645	11710	16927	3.15	8463.5	4630322.5	5855.0
G5R4_MAIN_15MAY2017	4547495	4547495	4547135	209	151	7	9093911	174	171	0.01	85.5	4546955.5	87.0
G5R4_MAIN_17JUL2017	1066771	1066771	1033122	19300	14349	200	2057872	3649	4323	3.55	2161.5	1028936.0	1824.5
G5R4_MAIN_18SEP2017	4592837	4592837	4485430	87236	20171	741	8955440	7801	6137	2.51	3068.5	4477720.0	3900.5
G5R4_MAIN_20JUN2016	686202	686202	681513	3597	1092	40	1361332	1050	564	0.81	282.0	680666.0	525.0
G5R4_MAIN_22AUG2016	2060624	2060624	1888924	86035	85665	1443	3732924	16123	25915	9.42	12957.5	1866462.0	8061.5
G5R4_MAIN_26JUN2017	891941	891941	887110	3892	939	25	1772586	1146	438	0.63	219.0	886293.0	573.0
G5R4_MAIN_28AUG2017	2719382	2719382	2625909	53476	39997	557	5230852	8445	11407	3.82	5703.5	2615426.0	4222.5
G5R4_MAIN_31MAY2016	476217	476217	475867	313	37	7	951583	105	32	0.09	16.0	475791.5	52.5
G5R4_NF_01AUG2016	1508426	1508426	1416704	50921	40801	1158	2805684	10544	14864	7.0	7432.0	1402842.0	5272.0
G5R4_NF_03OCT2016	6952788	6952788	6872645	62649	17494	469	13731366	6584	6402	1.25	3201.0	6865683.0	3292.0
G5R4_NF_05JUN2017	881592	881592	879901	1428	263	5	1759176	452	164	0.23	82.0	879588.0	226.0
G5R4_NF_07AUG2017	1154657	1154657	1109357	25562	19738	262	2209744	4032	4414	4.31	2207.0	1104872.0	2016.0
G5R4_NF_09MAY2016	938568	938568	938432	116	20	7	1876640	165	45	0.03	22.5	938320.0	82.5
G5R4_NF_12JUL2016	705303	705303	697056	5602	2645	110	1391531	1274	1087	1.35	543.5	695765.5	637.0
G5R4_NF_12SEP2016	3399261	3399261	3240873	84667	73721	1189	6439961	15042	24365	5.27	12182.5	3219980.5	7521.0
G5R4_NF_15MAY2017	846936	846936	846723	176	37	1	1693210	118	116	0.04	58.0	846605.0	59.0
G5R4_NF_17JUL2017	714927	714927	707642	5274	2011	43	1413560	930	708	1.14	354.0	706780.0	465.0
G5R4_NF_18SEP2017	2351563	2351563	2152912	90656	107995	1102	4249740	21285	32595	9.64	16297.5	2124870.0	10642.5
G5R4_NF_20JUN2016	539330	539330	537452	1560	318	23	1074263	386	209	0.41	104.5	537131.5	193.0
G5R4_NF_22AUG2016	2154145	2154145	2010814	70621	72710	1251	3980369	14954	23803	7.61	11901.5	1990184.5	7477.0
G5R4_NF_26JUN2017	605167	605167	602848	1846	473	20	1204785	596	275	0.46	137.5	602392.5	298.0
G5R4_NF_28AUG2017	1634574	1634574	1572921	33476	28177	344	3130366	6859	7929	4.25	3964.5	1565183.0	3429.5
G5R4_NF_31MAY2016	457287	457287	456773	441	73	7	913317	155	60	0.14	30.0	456658.5	77.5
G6R1_MAIN_01AUG2016	637988	637988	628891	8317	780	172	1255717	1341	380	1.59	190.0	627858.5	670.5
G6R1_MAIN_03OCT2016	1135722	1135722	1132226	3184	312	32	2263853	375	160	0.33	80.0	1131926.5	187.5
G6R1_MAIN_07NOV2016	5529692	5529692	5490535	35170	3987	303	10972955	5350	2159	0.78	1079.5	5486477.5	2675.0
G6R1_MAIN_09MAY2016	559551	559551	559526	13	12	1	1119026	8	16	0.01	8.0	559513.0	4.0
G6R1_MAIN_12JUL2016	565345	565345	562941	2133	271	74	1125185	359	190	0.49	95.0	562592.5	179.5
G6R1_MAIN_12SEP2016	1452969	1452969	1446310	5695	964	39	2890946	1106	490	0.52	245.0	1445473.0	553.0
G6R1_MAIN_20JUN2016	483435	483435	482851	515	69	15	965574	51	47	0.13	23.5	482787.0	25.5
G6R1_MAIN_22AUG2016	784005	784005	776855	6294	856	109	1552121	957	414	1.01	207.0	776060.5	478.5
G6R1_MAIN_31MAY2016	447701	447701	447530	146	25	4	894988	28	36	0.05	18.0	447494.0	14.0
G6R1_NF_01AUG2016	582731	582731	577882	4383	466	96	1154650	685	237	0.93	118.5	577325.0	342.5
G6R1_NF_03OCT2016	1744662	1744662	1730865	12754	1043	116	3459849	1187	462	0.84	231.0	1729924.5	593.5
G6R1_NF_07NOV2016	5035790	5035790	4986258	45420	4112	228	9964726	5216	2118	1.06	1059.0	4982363.0	2608.0
G6R1_NF_09MAY2016	571127	571127	571091	11	25	0	1142148	7	27	0.01	13.5	571074.0	3.5
G6R1_NF_12JUL2016	562249	562249	559710	2302	237	36	1118982	244	122	0.49	61.0	559491.0	122.0
G6R1_NF_12SEP2016	2088160	2088160	2074513	12083	1564	75	4146668	1364	844	0.71	422.0	2073334.0	682.0
G6R1_NF_20JUN2016	618296	618296	617147	1027	122	17	1233954	218	88	0.21	44.0	616977.0	109.0
G6R1_NF_22AUG2016	1192583	1192583	1184788	6431	1364	56	2368059	894	511	0.72	255.5	1184029.5	447.0
G6R1_NF_31MAY2016	546014	546014	545394	576	44	9	1090646	77	47	0.13	23.5	545323.0	38.5
G6R2_MAIN_01AUG2016	731758	731758	724033	7111	614	161	1446652	696	396	1.15	198.0	723326.0	348.0
G6R2_MAIN_03OCT2016	2259825	2259825	2248675	10052	1098	124	4495266	1251	585	0.54	292.5	2247633.0	625.5
G6R2_MAIN_07NOV2016	3792179	3792179	3764969	24978	2232	183	7525792	2661	1119	0.77	559.5	3762896.0	1330.5
G6R2_MAIN_09MAY2016	549995	549995	549915	65	15	0	1099761	45	24	0.02	12.0	549880.5	22.5
G6R2_MAIN_12JUL2016	1021092	1021092	1019081	1795	216	33	2037647	295	154	0.22	77.0	1018823.5	147.5
G6R2_MAIN_12SEP2016	1549004	1549004	1535756	12202	1046	113	3069624	1163	499	0.92	249.5	1534812.0	581.5
G6R2_MAIN_20JUN2016	1183506	1183506	1180507	2708	291	41	2360397	318	217	0.28	108.5	1180198.5	159.0
G6R2_MAIN_22AUG2016	1679614	1679614	1663901	14174	1539	202	3324388	2169	841	1.04	420.5	1662194.0	1084.5
G6R2_MAIN_31MAY2016	603544	603544	603148	378	18	7	1206204	43	35	0.07	17.5	603102.0	21.5
G6R2_NF_01AUG2016	704787	704787	701500	3007	280	60	1402314	391	175	0.52	87.5	701157.0	195.5
G6R2_NF_03OCT2016	1784764	1784764	1770612	13142	1010	122	3539344	1150	486	0.85	243.0	1769672.0	575.0
G6R2_NF_07NOV2016	5120225	5120225	5071318	45611	3296	234	10135798	4509	1861	1.02	930.5	5067899.0	2254.5
G6R2_NF_09MAY2016	1076004	1076004	1075861	96	47	3	2151544	94	78	0.02	39.0	1075772.0	47.0
G6R2_NF_12JUL2016	1496752	1496752	1492698	3705	349	65	2984472	518	276	0.3	138.0	1492236.0	259.0
G6R2_NF_12SEP2016	1432600	1432600	1417969	13527	1104	119	2833867	1278	555	1.09	277.5	1416933.5	639.0
G6R2_NF_20JUN2016	596028	596028	593796	2103	129	46	1187170	253	77	0.41	38.5	593585.0	126.5
G6R2_NF_22AUG2016	657259	657259	652842	3912	505	12	1304965	466	229	0.73	114.5	652482.5	233.0
G6R2_NF_31MAY2016	628752	628752	628598	124	30	1	1257090	52	52	0.03	26.0	628545.0	26.0
G6R3_MAIN_01AUG2016	513918	513918	510751	2865	302	61	1020906	368	106	0.67	53.0	510453.0	184.0
G6R3_MAIN_03OCT2016	1280718	1280718	1269111	10725	882	83	2536510	1093	453	0.97	226.5	1268255.0	546.5
G6R3_MAIN_07NOV2016	3553007	3553007	3521824	28685	2498	210	7039434	2743	1051	0.94	525.5	3519717.0	1371.5
G6R3_MAIN_09MAY2016	564943	564943	564901	16	26	0	1129752	19	31	0.01	15.5	564876.0	9.5
G6R3_MAIN_12JUL2016	477954	477954	475735	2022	197	47	951043	209	124	0.51	62.0	475521.5	104.5
G6R3_MAIN_12SEP2016	1574024	1574024	1556024	16468	1532	105	3109245	1889	704	1.23	352.0	1554622.5	944.5
G6R3_MAIN_20JUN2016	593841	593841	593089	675	77	14	1185986	99	65	0.14	32.5	592993.0	49.5
G6R3_MAIN_22AUG2016	717065	717065	713258	3378	429	34	1425659	552	237	0.59	118.5	712829.5	276.0
G6R3_MAIN_31MAY2016	590114	590114	589637	414	63	7	1179106	75	79	0.1	39.5	589553.0	37.5
G6R3_NF_01AUG2016	946582	946582	939988	6019	575	118	1878610	822	308	0.77	154.0	939305.0	411.0
G6R3_NF_03OCT2016	1125847	1125847	1117884	7308	655	44	2234600	757	323	0.76	161.5	1117300.0	378.5
G6R3_NF_07NOV2016	11567798	11567798	11441655	117362	8781	4074	22857655	11633	5874	1.2	2937.0	11428827.5	5816.5
G6R3_NF_09MAY2016	523790	523790	523749	26	15	0	1047457	21	20	0.01	10.0	523728.5	10.5
G6R3_NF_12JUL2016	537752	537752	533851	3573	328	70	1066883	465	214	0.8	107.0	533441.5	232.5
G6R3_NF_12SEP2016	1159384	1159384	1149558	9022	804	78	2297480	1038	442	0.92	221.0	1148740.0	519.0
G6R3_NF_20JUN2016	648691	648691	646900	1580	211	18	1293362	287	115	0.31	57.5	646681.0	143.5
G6R3_NF_22AUG2016	1423083	1423083	1412170	9684	1229	67	2822405	1251	550	0.83	275.0	1411202.5	625.5
G6R3_NF_31MAY2016	503106	503106	502766	291	49	3	1005430	63	33	0.08	16.5	502715.0	31.5
G6R4_MAIN_01AUG2016	815850	815850	809782	5440	628	102	1618201	682	477	0.83	238.5	809100.5	341.0
G6R4_MAIN_03OCT2016	2394123	2394123	2384617	8436	1070	99	4766947	1477	612	0.44	306.0	2383473.5	738.5
G6R4_MAIN_07NOV2016	5458808	5458808	5429559	25677	3572	265	10851636	5014	1938	0.6	969.0	5425818.0	2507.0
G6R4_MAIN_09MAY2016	986210	986210	986108	55	47	3	1971280	89	841	0.06	420.5	985640.0	44.5
G6R4_MAIN_12JUL2016	592896	592896	588815	3764	317	64	1176738	560	204	0.76	102.0	588369.0	280.0
G6R4_MAIN_12SEP2016	2451638	2451638	2436422	13120	2096	153	4868790	2620	1128	0.7	564.0	2434395.0	1310.0
G6R4_MAIN_20JUN2016	853509	853509	852030	1245	234	22	1703549	306	161	0.2	80.5	851774.5	153.0
G6R4_MAIN_22AUG2016	2003522	2003522	1989792	11928	1802	183	3975796	2445	977	0.78	488.5	1987898.0	1222.5
G6R4_MAIN_31MAY2016	676683	676683	676224	374	85	2	1352217	139	88	0.08	44.0	676108.5	69.5
G6R4_NF_01AUG2016	1725767	1725767	1706646	17330	1791	258	3408929	2936	911	1.23	455.5	1704464.5	1468.0
G6R4_NF_03OCT2016	456383	456383	452457	3608	318	25	904375	364	125	0.92	62.5	452187.5	182.0
G6R4_NF_07NOV2016	5192680	5192680	5141543	47402	3735	352	10275464	4800	2118	1.06	1059.0	5137732.0	2400.0
G6R4_NF_09MAY2016	480764	480764	480707	40	17	2	961352	31	27	0.02	13.5	480676.0	15.5
G6R4_NF_12JUL2016	1296660	1296660	1287224	8592	844	134	2572631	1031	518	0.8	259.0	1286315.5	515.5
G6R4_NF_12SEP2016	1569105	1569105	1555537	12356	1212	81	3108944	1384	584	0.93	292.0	1554472.0	692.0
G6R4_NF_20JUN2016	1449726	1449726	1447277	2045	404	15	2893885	402	237	0.19	118.5	1446942.5	201.0
G6R4_NF_22AUG2016	1475815	1475815	1466357	8335	1123	58	2930748	1241	609	0.71	304.5	1465374.0	620.5
G6R4_NF_31MAY2016	700402	700402	699977	345	80	1	1399716	176	60	0.08	30.0	699858.0	88.0
