Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
G5R1_MAIN_01AUG2016	801996	801996	744200	32300	25496	604	1472751	6227	8214	8.18	4107.0	736375.5	3113.5
G5R1_MAIN_03OCT2016	6753815	6753815	6681214	50101	22500	663	13347679	6488	6935	1.18	3467.5	6673839.5	3244.0
G5R1_MAIN_05JUN2017	1142639	1142639	1139322	2910	407	26	2277594	728	270	0.34	135.0	1138797.0	364.0
G5R1_MAIN_07AUG2017	1793828	1793828	1527740	117015	149073	1588	2983575	25311	43418	16.84	21709.0	1491787.5	12655.5
G5R1_MAIN_09MAY2016	1572819	1572819	1572657	113	49	3	3145155	75	78	0.02	39.0	1572577.5	37.5
G5R1_MAIN_12JUL2016	729303	729303	722209	4443	2651	93	1442429	798	1005	1.11	502.5	721214.5	399.0
G5R1_MAIN_12SEP2016	4427118	4427118	4204618	121314	101186	1450	8355282	19678	31376	5.64	15688.0	4177641.0	9839.0
G5R1_MAIN_15MAY2017	6224236	6224236	6224027	162	47	1	12447795	148	109	0.01	54.5	6223897.5	74.0
G5R1_MAIN_17JUL2017	939796	939796	910763	16991	12042	205	1814400	3091	3625	3.47	1812.5	907200.0	1545.5
G5R1_MAIN_18SEP2017	2601252	2601252	2522780	43583	34889	348	5027618	7472	9774	3.36	4887.0	2513809.0	3736.0
G5R1_MAIN_20JUN2016	1182988	1182988	1181067	1473	448	20	2361481	308	305	0.19	152.5	1180740.5	154.0
G5R1_MAIN_22AUG2016	2198779	2198779	2069885	61653	67241	1547	4101384	12786	22506	6.73	11253.0	2050692.0	6393.0
G5R1_MAIN_26JUN2017	652950	652950	650463	1885	602	11	1300028	584	292	0.45	146.0	650014.0	292.0
G5R1_MAIN_28AUG2017	3551987	3551987	3199066	154729	198192	2241	6303570	33262	56818	11.27	28409.0	3151785.0	16631.0
G5R1_MAIN_31MAY2016	491692	491692	491370	281	41	8	982597	94	33	0.08	16.5	491298.5	47.0
G5R1_NF_01AUG2016	867273	867273	816185	31136	19952	659	1619056	5470	6526	6.66	3263.0	809528.0	2735.0
G5R1_NF_03OCT2016	5549603	5549603	5476995	45868	26740	460	10937312	7021	8737	1.46	4368.5	5468656.0	3510.5
G5R1_NF_05JUN2017	1078494	1078494	1074849	3172	473	12	2148375	997	302	0.4	151.0	1074187.5	498.5
G5R1_NF_07AUG2017	1163549	1163549	1115294	26844	21411	263	2218198	5274	6590	4.68	3295.0	1109099.0	2637.0
G5R1_NF_09MAY2016	3333688	3333688	3333331	101	256	7	6666305	135	208	0.02	104.0	3333152.5	67.5
G5R1_NF_12JUL2016	533940	533940	519964	6826	7150	114	1035889	1410	2401	3.0	1200.5	517944.5	705.0
G5R1_NF_12SEP2016	3239021	3239021	3063481	82405	93135	1065	6081851	16001	26980	6.12	13490.0	3040925.5	8000.5
G5R1_NF_15MAY2017	2153807	2153807	2153299	279	229	8	4306211	172	199	0.03	99.5	2153105.5	86.0
G5R1_NF_17JUL2017	1650859	1650859	1630777	13106	6976	141	3255620	3019	2633	1.4	1316.5	1627810.0	1509.5
G5R1_NF_18SEP2017	5506443	5506443	5263400	125583	117460	1481	10465177	23856	34805	4.97	17402.5	5232588.5	11928.0
G5R1_NF_20JUN2016	555339	555339	552495	2348	496	41	1104054	498	356	0.6	178.0	552027.0	249.0
G5R1_NF_22AUG2016	1231773	1231773	1164275	33352	34146	576	2309577	6772	11049	6.25	5524.5	1154788.5	3386.0
G5R1_NF_26JUN2017	712122	712122	710922	981	219	4	1421466	244	126	0.2	63.0	710733.0	122.0
G5R1_NF_28AUG2017	3875503	3875503	3645998	115474	114031	1237	7231827	23543	34152	6.7	17076.0	3615913.5	11771.5
G5R1_NF_31MAY2016	602740	602740	601901	742	97	5	1203609	109	74	0.16	37.0	601804.5	54.5
G5R2_MAIN_01AUG2016	2246390	2246390	2065466	96918	84006	2015	4081523	17977	27402	9.15	13701.0	2040761.5	8988.5
G5R2_MAIN_03OCT2016	6674586	6674586	6598731	54092	21763	885	13179469	7481	8742	1.27	4371.0	6589734.5	3740.5
G5R2_MAIN_05JUN2017	668010	668010	666454	1368	188	14	1332394	357	129	0.27	64.5	666197.0	178.5
