plantbin,M,S,M1,S1,Association
S14,0,6,0,0.09375,
S15,0,6,0,0.09375,
S122,0,8,0,0.125,
S97,0,9,0,0.140625,
S105,0,10,0,0.15625,
S24,0,10,0,0.15625,
S86,0,10,0,0.15625,
S92,0,10,0,0.15625,
S9,0,11,0,0.171875,
S100,0,12,0,0.1875,
S12,0,13,0,0.203125,
S93,0,13,0,0.203125,
S39,0,14,0,0.21875,
S62,0,16,0,0.25,
S91,0,17,0,0.265625,
S70,0,18,0,0.28125,
S107,0,64,0,1,S
S109,0,64,0,1,S
S110,0,64,0,1,S
S111,0,64,0,1,S
S112,0,64,0,1,S
S116,0,64,0,1,S
S19,0,64,0,1,S
S20,0,64,0,1,S
S65,0,64,0,1,S
S88,0,64,0,1,S
S5,1,2,0.013888889,0.03125,
S103,1,6,0.013888889,0.09375,
S68,1,12,0.013888889,0.1875,
S11,1,15,0.013888889,0.234375,
S124,1,64,0.013888889,1,S
S44,1,64,0.013888889,1,S
S60,1,64,0.013888889,1,S
S67,1,64,0.013888889,1,S
S30,2,5,0.027777778,0.078125,
S81,2,21,0.027777778,0.328125,
S115,2,64,0.027777778,1,S
S58,3,9,0.041666667,0.140625,
S102,3,20,0.041666667,0.3125,
S10,3,64,0.041666667,1,S
S89,3,64,0.041666667,1,S
S125,4,18,0.055555556,0.28125,
S8,4,19,0.055555556,0.296875,
M42,5,1,0.069444444,0.015625,
S34,5,15,0.069444444,0.234375,
S75,5,21,0.069444444,0.328125,
M51,6,0,0.083333333,0,
M70,6,1,0.083333333,0.015625,
M17,6,7,0.083333333,0.109375,
S51,6,22,0.083333333,0.34375,
S79,7,11,0.097222222,0.171875,
S113,7,13,0.097222222,0.203125,
M89,8,1,0.111111111,0.015625,
M43,8,3,0.111111111,0.046875,
M37,8,6,0.111111111,0.09375,
M53,8,23,0.111111111,0.359375,
M22,9,0,0.125,0,
M35,9,19,0.125,0.296875,
S101,9,19,0.125,0.296875,
S52,9,64,0.125,1,S
M77,10,0,0.138888889,0,
M21,10,11,0.138888889,0.171875,B
M67,10,11,0.138888889,0.171875,B
M39,10,14,0.138888889,0.21875,B
S48,10,14,0.138888889,0.21875,B
S74,10,14,0.138888889,0.21875,B
S120,10,18,0.138888889,0.28125,B
S71,10,18,0.138888889,0.28125,B
S77,10,20,0.138888889,0.3125,B
M107,11,4,0.152777778,0.0625, 
S61,11,15,0.152777778,0.234375,B
S64,11,18,0.152777778,0.28125,B
S40,11,26,0.152777778,0.40625,B
M13,12,16,0.166666667,0.25,B
S36,12,25,0.166666667,0.390625,B
M47,13,10,0.180555556,0.15625,B
S80,13,12,0.180555556,0.1875,B
S63,13,13,0.180555556,0.203125,B
S69,13,18,0.180555556,0.28125,B
S83,13,19,0.180555556,0.296875,B
S28,13,20,0.180555556,0.3125,B
S29,13,20,0.180555556,0.3125,B
S41,13,22,0.180555556,0.34375,B
S23,13,25,0.180555556,0.390625,B
M73,14,1,0.194444444,0.015625, 
M110,14,13,0.194444444,0.203125,B
M28,14,18,0.194444444,0.28125,B
S33,14,19,0.194444444,0.296875,B
S82,14,20,0.194444444,0.3125,B
M86,14,21,0.194444444,0.328125,B
S32,14,22,0.194444444,0.34375,B
S21,15,16,0.208333333,0.25,B
M18,15,19,0.208333333,0.296875,B
S59,15,21,0.208333333,0.328125,B
M25,16,10,0.222222222,0.15625,B
S2,16,14,0.222222222,0.21875,B
S72,16,16,0.222222222,0.25,B
S13,16,18,0.222222222,0.28125,B
S55,16,21,0.222222222,0.328125,B
M60,17,14,0.236111111,0.21875,B
S95,17,18,0.236111111,0.28125,B
S117,17,19,0.236111111,0.296875,B
S118,17,19,0.236111111,0.296875,B
M27,17,20,0.236111111,0.3125,B
M34,17,21,0.236111111,0.328125,B
S6,17,22,0.236111111,0.34375,B
S16,17,23,0.236111111,0.359375,B
M33,18,13,0.25,0.203125,B
M100,18,14,0.25,0.21875,B
S66,18,17,0.25,0.265625,B
S126,18,20,0.25,0.3125,B
M84,18,21,0.25,0.328125,B
S108,18,23,0.25,0.359375,B
S87,19,12,0.263888889,0.1875,B
M19,19,15,0.263888889,0.234375,B
S54,19,19,0.263888889,0.296875,B
M3,19,22,0.263888889,0.34375,B
M80,19,22,0.263888889,0.34375,B
