plantbin,M,S,M1,S1,Association
M101,20,16,0.277777778,0.25,B
S38,20,23,0.277777778,0.359375,B
M92,20,24,0.277777778,0.375,B
S121,20,24,0.277777778,0.375,B
S76,20,24,0.277777778,0.375,B
M108,21,4,0.291666667,0.0625,
M61,21,14,0.291666667,0.21875,B
M76,21,22,0.291666667,0.34375,B
S119,21,23,0.291666667,0.359375,B
M36,22,16,0.305555556,0.25,B
S73,22,19,0.305555556,0.296875,B
M93,22,21,0.305555556,0.328125,B
M78,22,23,0.305555556,0.359375,B
S17,22,25,0.305555556,0.390625,B
S47,22,25,0.305555556,0.390625,B
M85,23,4,0.319444444,0.0625,
S27,23,22,0.319444444,0.34375,B
M45,23,23,0.319444444,0.359375,B
M69,23,23,0.319444444,0.359375,B
M99,23,23,0.319444444,0.359375,B
M50,23,24,0.319444444,0.375,B
S45,23,24,0.319444444,0.375,B
M68,23,25,0.319444444,0.390625,B
S94,23,26,0.319444444,0.40625,B
S127,23,28,0.319444444,0.4375,B
M64,23,30,0.319444444,0.46875,B
M65,24,14,0.333333333,0.21875,B
M2,24,19,0.333333333,0.296875,B
M57,24,23,0.333333333,0.359375,B
M46,25,16,0.347222222,0.25,B
S57,25,19,0.347222222,0.296875,B
M94,25,20,0.347222222,0.3125,B
M41,25,23,0.347222222,0.359375,B
M9,25,23,0.347222222,0.359375,B
S114,25,24,0.347222222,0.375,B
M81,26,17,0.361111111,0.265625,B
M1,26,26,0.361111111,0.40625,B
S31,27,21,0.375,0.328125,B
S43,27,22,0.375,0.34375,B
S96,27,23,0.375,0.359375,B
M44,28,13,0.388888889,0.203125,B
M102,28,19,0.388888889,0.296875,B
S90,28,23,0.388888889,0.359375,B
S3,28,26,0.388888889,0.40625,B
S56,28,30,0.388888889,0.46875,B
M26,29,8,0.402777778,0.125,B
M59,29,22,0.402777778,0.34375,B
M79,29,24,0.402777778,0.375,B
M95,29,24,0.402777778,0.375,B
M24,30,24,0.416666667,0.375,B
M10,31,25,0.430555556,0.390625,B
S4,31,29,0.430555556,0.453125,B
M111,32,14,0.444444444,0.21875,B
S123,32,23,0.444444444,0.359375,B
S98,32,24,0.444444444,0.375,B
S26,32,26,0.444444444,0.40625,B
M66,32,27,0.444444444,0.421875,B
M56,32,32,0.444444444,0.5,B
M8,33,19,0.458333333,0.296875,B
M4,33,23,0.458333333,0.359375,B
S35,33,35,0.458333333,0.546875,B
M49,34,17,0.472222222,0.265625,B
M52,34,18,0.472222222,0.28125,B
M62,34,19,0.472222222,0.296875,B
M32,34,24,0.472222222,0.375,B
M12,35,19,0.486111111,0.296875,B
M90,35,21,0.486111111,0.328125,B
M74,35,25,0.486111111,0.390625,B
M98,35,41,0.486111111,0.640625,B
M20,36,19,0.5,0.296875,B
S25,36,26,0.5,0.40625,B
M23,36,27,0.5,0.421875,B
S53,37,22,0.513888889,0.34375,B
M5,37,23,0.513888889,0.359375,B
S78,37,30,0.513888889,0.46875,B
M7,38,23,0.527777778,0.359375,B
M11,38,25,0.527777778,0.390625,B
S49,38,26,0.527777778,0.40625,B
S22,38,29,0.527777778,0.453125,B
S37,38,33,0.527777778,0.515625,B
M105,39,11,0.541666667,0.171875,
M87,39,24,0.541666667,0.375,B
S104,39,27,0.541666667,0.421875,B
M38,39,42,0.541666667,0.65625,B
M71,39,45,0.541666667,0.703125,B
M54,40,27,0.555555556,0.421875,B
S50,40,31,0.555555556,0.484375,B
M109,41,27,0.569444444,0.421875,B
M30,41,29,0.569444444,0.453125,B
S46,41,30,0.569444444,0.46875,B
M55,42,22,0.583333333,0.34375,B
S85,42,30,0.583333333,0.46875,B
M29,42,32,0.583333333,0.5,B
S1,43,30,0.597222222,0.46875,B
S99,44,31,0.611111111,0.484375,B
S106,44,64,0.611111111,1,B
M106,50,47,0.694444444,0.734375,B
S42,63,63,0.875,0.984375,B
M15,72,0,1,0,M
M16,72,0,1,0,M
M83,72,0,1,0,M
M103,72,1,1,0.015625,M
M104,72,1,1,0.015625,M
M31,72,1,1,0.015625,M
M40,72,1,1,0.015625,M
M48,72,1,1,0.015625,M
M72,72,1,1,0.015625,M
M75,72,1,1,0.015625,M
M88,72,1,1,0.015625,M
M96,72,1,1,0.015625,M
M97,72,1,1,0.015625,M
M63,72,2,1,0.03125,M
M14,72,6,1,0.09375,M
M82,72,61,1,0.953125,B
M58,72,64,1,1,B
M6,72,64,1,1,B
M91,72,64,1,1,B
S18,72,64,1,1,B
S7,72,64,1,1,B
S84,72,64,1,1,B
