	"Phages, Prophages, Transposable Elements, and Plasmids"	Metabolism of Aromatic Compounds	Potassium metabolism	Photosynthesis	Iron acquisition and metabolism	Secondary Metabolism	Protein Metabolism	Respiration	Carbohydrates	"Virulence, Disease and Defense"	RNA Metabolism	Phosphorus Metabolism	"Cofactors, Vitamins, Prosthetic Groups, and Pigments"	Cell Division and Cell Cycle	Miscellaneous	Membrane Transport	Cell Wall and Capsule	Regulation and Cell signaling	NA	Motility and Chemotaxis	Sulfur Metabolism	Stress Response	Dormancy and Sporulation	Clustering-based subsystems	"Fatty Acids, Lipids, and Isoprenoids"	Amino Acids and Derivatives	Nucleosides and Nucleotides	Nitrogen Metabolism	DNA Metabolism
M_100	3	4	1	1	1	2	14	11	33	9	10	2	9	2	2	6	16	4	149	0	3	14	1	27	8	21	8	5	4
M_101	3	5	2	0	2	0	5	5	10	4	3	2	3	0	0	5	5	5	36	2	1	5	0	6	3	12	3	2	0
M_102	2	9	2	2	4	0	15	13	30	10	8	2	11	2	2	9	15	10	175	4	4	14	0	37	9	22	9	5	4
M_104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_105	5	10	1	1	2	0	12	11	46	9	8	2	10	2	2	9	10	7	173	3	4	15	1	20	10	23	10	4	7
M_106	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_107	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	18	1	0	0	0	1	1	2	2	0	1
M_108	1	2	0	0	1	0	4	3	7	3	2	1	1	0	0	3	7	3	28	1	0	6	0	4	2	8	1	1	0
M_109	4	6	1	1	2	1	17	13	29	5	9	2	11	2	0	6	12	9	140	3	4	16	0	35	9	15	8	2	7
M_10	6	6	1	1	2	1	13	9	24	5	8	2	12	1	2	7	12	6	126	3	3	11	0	26	6	18	7	2	8
M_110	1	0	1	1	1	0	7	3	7	1	3	1	2	1	1	4	4	3	52	0	0	5	0	1	3	7	4	0	1
M_111	3	8	2	2	4	1	14	13	31	9	7	1	9	2	2	8	13	10	171	4	4	14	0	35	8	22	10	5	3
M_11	4	6	1	0	2	1	7	11	22	4	7	2	8	0	2	6	7	6	88	4	3	10	0	16	6	13	9	0	1
M_12	2	11	2	2	4	2	17	13	33	10	9	2	12	2	2	10	15	11	189	4	5	15	0	39	9	24	11	5	5
M_13	0	1	0	0	0	0	2	1	1	1	0	0	1	0	0	1	1	1	24	1	1	1	0	2	1	1	2	0	1
M_14	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
M_17	2	0	2	1	0	0	11	5	7	3	6	1	3	2	1	2	10	1	84	1	1	5	0	10	3	5	2	0	3
M_18	3	9	1	1	1	0	8	9	26	4	6	1	8	2	2	7	6	3	127	3	4	13	1	19	8	13	6	3	3
M_19	5	0	1	0	0	0	2	2	1	0	2	1	3	0	0	2	2	2	16	1	1	3	0	5	0	2	2	1	1
M_1	2	6	1	1	1	1	12	10	35	8	9	1	9	2	2	11	15	6	157	3	3	12	1	20	9	20	10	2	7
M_20	3	7	2	2	4	1	18	14	34	11	9	2	10	2	2	9	17	11	195	4	5	13	0	38	9	25	11	5	4
M_21	3	16	2	1	4	1	18	14	37	10	9	1	11	2	2	14	18	8	188	3	4	19	1	40	7	26	10	3	9
M_22	2	2	1	1	1	1	16	10	22	9	10	1	5	2	3	9	16	6	146	4	2	11	2	28	6	18	4	0	7
M_23	3	5	1	1	1	2	18	12	28	7	7	2	11	1	2	8	12	6	155	4	4	12	0	32	6	18	9	1	5
M_24	5	8	1	2	5	2	16	12	38	10	9	2	9	2	2	13	14	8	161	4	6	15	1	32	7	22	9	5	5
M_25	5	9	1	2	2	1	17	9	30	8	7	1	9	2	1	7	12	9	150	4	4	9	0	26	7	16	9	3	5
M_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
M_27	5	3	1	0	1	2	11	8	16	8	5	1	6	2	1	3	10	2	85	1	1	8	1	15	4	14	3	1	1
M_28	0	4	0	0	0	0	2	1	9	2	1	0	0	1	1	1	2	0	20	0	0	1	0	0	2	2	1	1	0
M_29	9	13	1	2	4	3	19	14	39	13	12	2	14	3	2	14	23	11	205	4	6	21	1	53	8	25	9	3	10
M_2	3	4	1	0	6	1	16	9	32	7	8	2	10	2	1	10	12	7	134	3	3	10	0	23	5	21	7	0	4
M_30	3	5	1	1	3	2	13	12	34	6	10	2	12	3	2	8	13	7	143	4	4	15	0	28	7	16	10	2	4
M_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
M_32	4	11	1	2	6	1	19	14	35	10	9	2	12	3	1	11	15	10	175	3	5	10	0	35	9	21	11	4	5
M_33	1	0	1	0	0	1	2	1	3	3	1	0	2	1	1	4	3	2	15	1	2	4	0	8	1	2	0	0	3
M_34	3	0	1	0	1	2	11	8	21	7	4	1	7	2	1	6	11	2	81	1	2	8	1	23	5	16	6	1	2
M_35	1	0	0	1	0	0	10	6	10	4	8	1	3	2	1	2	11	1	91	2	2	4	0	10	3	5	4	0	3
M_36	1	4	1	1	1	0	5	5	14	5	4	1	4	0	1	6	6	5	69	2	3	11	0	12	6	12	6	2	3
M_37	0	0	1	0	1	0	1	2	8	1	0	0	0	0	0	4	4	2	26	0	0	0	0	3	2	2	0	0	0
M_38	1	1	0	0	2	0	1	3	4	2	0	0	1	1	0	4	4	6	23	1	0	4	0	8	2	1	0	2	0
M_39	1	5	1	1	2	0	4	3	11	4	2	2	4	0	1	5	7	2	51	3	3	5	0	13	3	9	5	2	1
M_3	2	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	3	11	2	0	0	0	3	0	0	0	0	1
M_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_41	2	10	1	1	4	1	13	15	28	12	6	2	8	2	2	12	14	7	141	3	4	11	1	24	5	23	9	2	4
M_42	1	5	2	1	3	1	12	5	17	4	6	3	6	1	1	7	16	6	92	3	3	12	0	16	5	19	9	1	2
M_43	0	0	0	1	0	0	6	2	2	1	2	0	4	1	0	0	1	0	23	0	1	2	0	2	3	3	2	2	0
M_44	3	8	2	2	4	2	14	12	35	11	9	1	10	2	2	8	15	10	168	4	4	14	0	34	9	22	9	5	3
M_45	6	3	1	1	3	0	12	4	24	6	4	1	10	1	1	5	11	2	79	1	2	8	1	13	4	16	4	2	3
M_46	4	2	0	0	1	0	3	3	7	1	0	0	1	0	0	4	1	5	32	1	1	2	0	8	1	8	0	1	1
M_47	2	8	1	1	1	1	15	12	37	10	10	2	13	2	2	6	15	4	160	1	3	14	2	30	9	22	8	5	4
M_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
M_49	3	8	2	2	2	1	14	11	26	10	7	2	10	1	2	9	15	9	145	4	4	15	0	31	8	19	8	5	3
M_4	5	15	2	1	3	0	20	15	43	10	9	1	11	3	2	14	18	9	193	4	5	18	2	40	8	29	10	4	8
M_50	3	10	1	1	1	2	16	13	37	10	7	1	9	2	2	10	7	7	182	3	5	15	1	28	9	20	9	4	5
M_51	2	1	1	0	0	0	12	3	5	4	4	1	2	0	1	4	3	0	54	2	1	2	0	11	5	4	1	0	5
M_52	5	11	2	2	2	1	19	13	35	11	9	2	10	1	2	12	18	10	193	4	5	15	0	40	9	23	9	5	5
