	"Phages, Prophages, Transposable Elements, and Plasmids"	Metabolism of Aromatic Compounds	Potassium metabolism	Photosynthesis	Iron acquisition and metabolism	Secondary Metabolism	Protein Metabolism	Respiration	Carbohydrates	"Virulence, Disease and Defense"	RNA Metabolism	Phosphorus Metabolism	"Cofactors, Vitamins, Prosthetic Groups, and Pigments"	Cell Division and Cell Cycle	Miscellaneous	Membrane Transport	Cell Wall and Capsule	Regulation and Cell signaling	NA	Motility and Chemotaxis	Sulfur Metabolism	Stress Response	Dormancy and Sporulation	Clustering-based subsystems	"Fatty Acids, Lipids, and Isoprenoids"	Amino Acids and Derivatives	Nucleosides and Nucleotides	Nitrogen Metabolism	DNA Metabolism
M_53	2	0	1	0	1	0	6	3	11	3	4	2	6	0	0	7	9	5	59	3	3	11	0	13	1	9	5	1	2
M_54	5	8	1	2	2	1	17	13	34	8	10	2	11	1	2	8	17	8	147	4	4	16	1	35	7	16	10	1	6
M_55	3	6	1	1	4	0	17	13	32	7	9	2	10	2	1	4	16	9	148	4	3	20	1	40	9	20	9	2	6
M_56	2	10	2	1	1	4	6	6	37	8	5	2	9	2	1	2	7	3	117	1	5	9	1	14	7	26	7	6	3
M_57	3	8	1	1	5	0	14	9	29	8	7	2	9	2	2	11	10	7	120	3	3	10	1	26	7	19	8	4	3
M_58	0	0	0	0	0	0	1	3	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
M_59	1	5	1	1	3	1	13	12	28	6	7	1	8	2	1	5	11	7	114	4	5	10	0	24	5	15	8	2	6
M_5	2	9	1	0	1	2	11	6	27	7	4	1	6	2	1	4	7	3	104	0	3	10	2	13	5	22	7	4	3
M_60	3	7	1	1	4	0	19	10	43	10	9	2	10	2	2	12	17	8	193	4	4	18	1	29	10	27	10	2	7
M_61	4	7	2	1	4	1	17	14	33	9	10	1	10	2	2	9	13	11	178	4	4	11	0	33	8	23	11	5	3
M_62	6	6	2	2	4	1	14	14	28	8	9	2	9	2	1	10	15	8	143	3	5	11	0	31	9	22	9	5	3
M_63	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
M_64	3	12	2	1	5	2	19	14	40	12	9	2	11	2	3	14	20	13	222	4	6	20	2	47	7	29	11	4	5
M_65	4	8	1	1	2	0	8	11	20	6	6	1	6	2	1	5	7	6	82	3	3	9	0	15	5	15	3	2	3
M_66	2	16	2	1	3	1	18	14	32	9	8	2	9	3	1	12	17	8	177	4	5	18	2	36	8	26	9	4	7
M_67	4	8	1	1	2	1	13	10	42	7	9	2	9	2	2	11	17	5	179	3	4	12	1	29	9	23	10	1	6
M_68	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_69	0	1	1	0	1	2	9	3	14	7	4	1	3	2	0	4	9	1	56	1	1	6	0	7	4	13	5	0	1
M_6	1	3	1	3	0	3	11	9	35	8	8	1	10	2	1	6	10	3	114	3	3	7	1	19	6	20	6	4	1
M_70	0	0	1	0	2	0	4	1	2	5	5	1	3	1	0	6	7	5	71	2	1	6	1	15	2	5	5	0	2
M_71	0	0	0	0	0	0	0	2	1	1	0	1	1	0	0	0	1	1	9	0	1	0	0	0	0	1	0	1	0
M_73	3	1	0	0	0	0	0	3	4	3	0	1	1	1	0	1	2	2	20	3	2	7	0	8	1	6	0	0	2
M_74	7	13	2	2	5	3	18	15	43	11	10	3	11	2	2	15	20	10	217	4	5	20	0	40	9	30	11	5	7
M_75	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0
M_76	6	2	1	0	0	1	15	9	34	10	8	2	8	2	2	6	13	5	105	2	1	8	0	25	8	20	6	3	3
M_77	5	16	2	1	5	3	18	14	31	10	9	2	11	2	2	13	17	9	183	4	4	17	1	37	5	31	10	4	7
M_78	3	8	1	1	1	2	15	12	33	10	7	1	9	2	2	9	14	6	135	2	3	11	1	27	8	21	7	2	5
M_79	3	7	1	1	3	1	13	10	31	9	7	1	10	3	2	9	13	4	107	3	3	14	0	28	6	23	5	2	4
M_7	2	4	1	1	1	2	6	5	30	1	5	0	8	1	1	2	5	3	99	0	3	7	0	13	6	15	7	4	3
M_80	7	14	1	1	4	2	18	13	45	10	10	1	13	3	2	15	17	8	211	3	5	14	1	28	10	24	11	5	8
M_81	4	9	2	1	2	1	12	11	23	7	5	1	8	0	1	9	12	9	115	3	5	12	0	18	7	18	5	2	3
M_82	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	2	0	1	0	2	0	1	0
M_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_84	2	5	1	0	1	1	14	10	33	11	6	1	7	2	1	7	14	5	125	1	2	11	1	24	8	18	7	2	3
M_85	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	3	0	0
M_86	2	4	1	1	3	1	10	5	33	8	9	1	8	2	2	7	13	5	152	4	2	11	1	22	8	16	9	2	6
M_87	5	9	2	2	5	1	18	12	34	12	9	2	12	2	2	10	16	11	179	4	6	11	0	39	7	23	7	4	6
M_88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M_89	1	1	1	1	1	0	8	6	29	6	5	1	6	1	1	4	8	2	81	1	2	7	0	14	4	12	4	0	2
M_8	5	10	2	2	3	1	18	13	31	12	10	2	10	2	2	10	18	12	196	4	4	16	0	40	9	26	10	3	5
M_90	2	8	2	2	3	1	15	13	29	11	9	1	11	2	2	10	16	10	171	4	4	16	0	30	8	20	9	3	3
M_91	1	3	1	1	0	4	3	5	13	4	4	1	4	1	1	3	3	2	32	1	1	6	0	9	4	10	2	2	1
M_92	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_93	2	6	1	0	1	1	15	9	30	12	6	1	10	3	2	7	14	5	127	2	3	9	1	23	7	21	9	1	4
M_94	2	12	2	1	1	0	17	9	29	10	7	1	10	3	1	14	17	7	169	4	5	17	2	32	7	25	7	4	7
M_95	5	4	1	0	1	0	5	5	12	5	1	1	2	2	0	4	6	5	45	1	1	7	0	15	0	5	3	1	5
M_96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M_98	3	4	1	1	0	1	6	3	19	2	4	1	8	0	1	1	4	0	66	0	1	5	0	10	5	12	8	3	0
M_99	1	7	1	1	1	0	13	8	28	6	7	2	10	2	2	6	12	5	152	2	4	12	1	16	7	18	7	5	3
M_9	7	6	1	0	3	1	19	11	36	12	8	2	9	2	2	7	16	5	155	2	3	14	1	31	7	25	9	3	5
S_100	3	4	1	0	2	1	10	5	28	8	8	1	7	3	1	2	13	4	101	2	3	7	1	19	6	12	8	2	3
S_101	1	0	0	0	0	0	5	0	0	0	2	1	1	1	0	3	1	1	45	0	1	2	0	2	1	2	4	0	5
S_102	0	0	1	0	0	0	3	0	0	1	2	1	2	0	0	4	1	1	45	0	1	3	0	5	0	2	3	0	2
S_103	4	0	1	0	0	0	4	1	1	1	2	0	1	1	0	0	0	1	14	0	0	3	0	0	0	0	3	0	2
S_104	2	5	1	1	1	1	14	10	24	5	9	1	10	0	1	6	11	8	109	4	1	16	0	27	7	14	9	2	6
S_105	2	0	1	0	0	0	3	0	2	1	2	0	1	2	0	0	0	2	16	0	0	3	0	1	0	1	2	0	2
S_106	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
S_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
S_108	3	4	1	0	1	1	13	7	29	11	5	2	8	2	2	6	13	5	97	2	2	9	1	19	7	16	6	2	4
S_109	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
S_10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S_110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
S_112	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
S_113	5	5	1	1	1	0	11	7	15	6	4	1	8	1	1	7	12	3	80	4	1	8	0	16	5	12	6	2	3
S_114	2	6	1	1	4	0	10	11	34	6	8	1	10	2	2	13	9	5	149	2	4	11	1	20	5	21	9	3	5
S_115	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
S_116	0	1	0	0	0	0	5	2	7	1	0	0	0	0	0	0	1	2	37	1	0	3	0	0	2	3	4	1	1
S_117	3	8	1	1	1	1	17	13	27	10	10	1	9	2	1	5	16	7	147	4	5	16	0	34	7	19	9	2	6
S_118	2	3	1	1	1	1	12	6	20	5	3	1	7	1	1	2	8	2	79	4	3	8	0	11	4	13	3	0	4
S_119	4	5	1	0	3	2	7	6	27	11	4	1	8	1	1	3	10	3	77	2	1	10	0	19	8	20	6	1	5
S_11	4	4	1	1	6	2	11	11	21	5	8	2	8	1	0	11	14	4	122	3	3	12	0	21	6	24	7	1	5
S_120	3	4	1	1	2	1	11	7	28	8	9	1	9	3	2	7	13	4	113	2	2	8	2	19	6	17	8	1	4
S_121	4	9	1	1	3	3	19	13	30	10	12	2	11	2	1	10	16	8	176	4	5	17	0	38	9	22	9	3	6
S_122	3	0	1	0	0	0	3	0	1	1	0	0	0	2	0	0	0	2	14	2	0	1	0	2	0	1	1	0	2
S_123	4	13	2	1	5	1	17	16	47	11	11	2	13	3	2	16	18	9	206	4	6	17	0	41	6	28	10	4	8
S_124	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
S_125	0	1	0	0	0	0	2	0	14	0	0	0	3	0	0	3	1	1	13	1	0	4	0	6	1	9	2	0	1
S_126	1	3	1	0	1	1	6	6	15	3	4	1	3	0	0	3	6	4	52	2	1	7	0	9	1	10	3	0	2
S_127	1	4	1	2	2	1	4	7	23	5	5	2	10	0	1	5	7	6	65	3	2	12	0	21	5	11	4	0	4
S_12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
S_13	1	1	0	0	0	0	5	4	11	3	2	1	4	0	1	4	6	3	37	3	1	5	0	9	3	7	2	2	2
S_14	2	0	0	0	0	0	3	0	1	1	3	1	1	1	0	0	0	1	21	2	0	3	0	1	1	1	4	0	2
S_15	1	0	0	0	0	0	3	0	0	1	1	0	1	1	0	0	0	0	23	2	0	2	0	2	0	0	3	0	3
S_16	2	3	1	0	2	2	13	9	25	9	4	1	10	2	2	5	12	4	129	2	2	12	1	20	8	24	7	2	5
S_17	3	1	1	0	0	0	5	5	13	3	2	1	3	0	1	2	5	2	44	0	0	2	0	9	4	12	5	1	1
S_18	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
S_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S_1	7	13	1	1	2	3	14	13	30	10	8	1	11	3	2	9	16	7	160	3	6	17	1	31	6	19	8	3	9
S_20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
S_21	2	7	1	1	4	0	16	11	38	8	9	2	8	2	2	7	13	8	160	4	3	19	2	24	9	24	9	2	7
S_22	7	12	2	2	7	1	19	13	41	13	12	2	11	3	2	12	19	13	212	4	5	19	1	42	9	28	11	5	7
S_23	1	2	1	0	2	0	4	2	11	3	3	1	3	0	1	2	2	5	36	4	1	2	0	3	4	6	1	0	1
S_24	2	1	1	0	0	1	9	8	14	5	7	2	4	2	1	6	7	1	89	1	1	5	2	13	3	12	8	1	2
S_25	6	11	2	2	4	2	18	13	41	11	10	3	14	3	2	14	21	10	216	4	5	21	0	43	10	26	10	5	5
S_26	3	3	1	2	2	2	18	12	22	7	7	2	11	0	2	9	14	5	133	4	3	14	0	27	8	17	9	1	5
S_27	2	13	2	1	3	1	18	12	32	9	9	2	10	3	1	14	16	8	175	4	5	18	2	35	7	25	8	4	7
S_28	3	11	2	1	5	2	19	12	40	13	9	2	12	2	2	15	19	14	221	4	6	20	2	48	7	29	11	4	6
S_29	3	4	1	1	1	1	13	10	35	6	9	1	6	2	2	10	14	6	179	4	2	13	1	23	7	21	9	3	8
S_2	7	7	1	1	1	2	16	11	35	10	10	2	9	2	3	6	15	4	167	1	2	15	2	31	9	20	9	4	5
S_30	6	8	2	1	3	1	17	11	44	12	10	2	10	4	3	12	21	12	205	4	6	26	1	51	10	23	12	2	6
S_31	5	16	2	1	3	0	20	15	39	10	9	1	10	2	2	13	19	8	195	4	5	19	2	42	8	29	10	4	8
S_32	3	7	1	1	1	2	8	7	20	3	4	1	7	0	0	5	9	4	64	1	2	9	0	13	5	11	7	0	3
S_33	3	11	1	1	2	0	13	11	31	10	7	2	9	1	2	9	11	8	142	4	4	17	0	26	5	23	9	3	5
S_34	3	9	1	1	0	1	5	5	34	5	2	2	8	1	0	2	8	3	105	2	4	6	0	14	6	24	6	5	2
S_35	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
S_36	1	8	1	1	6	0	15	12	32	9	8	2	9	2	2	14	17	9	174	4	5	18	1	31	6	24	10	4	7
S_37	1	5	1	1	1	1	9	9	22	4	8	1	8	2	0	4	10	8	87	2	1	9	0	15	3	12	6	0	2
S_38	5	4	1	0	1	2	9	6	29	7	3	1	8	1	2	7	11	5	96	1	3	9	1	25	8	13	7	2	5
S_39	0	1	0	0	1	0	1	1	1	2	1	1	0	1	0	1	2	1	19	0	0	1	0	5	0	4	1	0	0
S_3	6	7	1	1	4	3	16	12	33	9	11	1	13	3	2	11	13	10	155	4	5	16	1	39	8	23	10	3	8
S_40	0	4	0	0	1	0	3	4	14	2	0	1	5	0	0	0	1	1	39	0	0	4	0	5	3	5	1	1	1
S_41	2	2	1	1	0	0	8	5	19	8	4	1	6	2	1	4	8	3	60	1	2	8	1	9	5	12	4	0	2
S_42	2	4	0	0	0	0	4	5	22	3	2	1	5	0	0	0	2	2	62	1	2	5	0	5	4	17	4	2	1
S_43	4	5	1	0	3	1	15	9	24	12	8	1	8	3	2	8	12	5	129	2	3	11	1	27	8	23	8	1	4
S_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
S_45	0	2	0	1	2	0	7	6	16	5	4	2	5	0	0	3	7	3	41	2	3	7	0	10	4	6	7	0	2
S_46	2	8	1	1	5	1	12	13	25	8	5	1	10	1	0	6	9	6	95	4	2	9	0	23	5	12	7	1	3
S_47	0	2	1	1	2	0	9	5	26	8	4	1	6	2	2	7	10	6	119	2	4	9	1	12	5	18	6	1	3
S_48	3	8	1	0	3	1	14	8	28	7	8	1	11	2	2	8	12	7	135	2	4	11	0	24	6	17	7	3	5
S_49	4	11	1	1	3	2	18	13	41	10	12	2	13	2	2	8	17	10	184	4	5	19	1	44	9	19	9	3	7
S_4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
S_50	3	12	1	1	2	2	19	12	29	11	6	1	12	3	1	6	16	7	136	3	4	17	0	37	10	22	8	3	5
S_51	2	8	1	1	6	1	16	7	34	11	9	2	12	3	2	9	19	10	163	4	5	18	2	30	6	26	11	4	4
S_52	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S_53	2	4	0	1	0	1	5	4	26	2	4	0	5	2	0	1	3	2	80	0	2	7	0	8	5	14	3	3	0
S_54	2	11	1	1	4	1	17	12	37	8	10	1	10	2	2	11	12	7	182	3	4	14	1	28	7	21	9	5	7
S_55	7	3	1	0	2	1	12	6	17	8	5	2	4	1	0	3	13	5	81	1	2	8	0	16	5	13	5	1	4
S_56	4	10	1	1	4	1	18	13	34	8	10	1	11	3	2	6	20	9	174	4	6	14	0	36	10	21	9	3	6
S_57	4	14	2	1	7	2	18	15	39	12	10	3	15	2	2	12	18	8	208	4	5	18	1	45	10	28	9	4	6
S_58	0	0	0	0	0	0	2	0	9	0	0	0	1	0	0	0	1	0	15	0	1	2	0	2	3	5	0	1	0
S_59	4	1	1	1	2	1	5	3	13	1	2	0	1	0	0	5	6	2	40	2	1	3	0	8	2	6	5	0	2
S_5	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	4	1	0	0	0	0	0	0	1	0	0
S_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0
S_61	3	11	1	1	2	0	20	13	43	13	12	2	12	3	2	18	17	7	202	4	7	19	1	49	7	28	10	3	7
S_62	2	5	1	1	1	2	6	4	26	5	4	1	8	1	0	2	3	2	97	0	3	8	0	10	5	18	6	3	2
S_63	4	5	1	1	1	0	13	7	28	9	5	1	9	2	1	5	17	4	109	2	3	10	2	22	3	17	7	2	6
S_64	1	2	1	0	0	0	2	3	11	2	0	0	1	0	0	0	0	2	40	0	0	1	0	0	5	8	2	1	0
S_66	4	9	1	1	0	0	12	8	28	7	8	1	9	2	2	9	8	6	134	1	4	9	1	17	8	17	8	4	5
S_67	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
S_68	0	0	0	0	0	0	4	0	0	1	2	1	1	1	0	3	0	1	45	0	1	1	0	4	1	2	4	0	7
S_69	2	12	2	1	0	0	14	13	26	9	7	1	9	3	2	13	17	7	158	4	3	13	2	31	6	22	7	4	7
S_6	2	2	1	0	1	0	11	4	23	7	4	1	7	1	1	4	12	2	58	1	2	4	1	16	5	16	3	0	2
S_71	3	10	2	1	2	0	17	13	31	8	10	1	9	2	1	7	14	9	147	4	5	18	1	36	7	17	7	3	6
S_72	1	4	1	1	1	1	12	5	20	7	5	2	6	3	2	3	12	6	85	2	2	8	0	9	5	11	4	0	1
S_73	1	8	1	0	1	3	11	7	20	4	4	1	7	1	1	2	4	5	96	0	3	11	1	14	5	19	6	5	3
S_74	1	8	2	1	3	1	18	10	34	9	8	3	10	1	2	13	19	9	178	4	6	16	2	36	6	28	10	4	5
S_75	2	7	1	1	1	0	12	9	35	10	7	2	9	2	1	11	11	6	156	3	3	12	1	20	8	20	8	1	6
S_76	6	5	1	0	2	1	14	8	40	10	5	2	8	2	1	10	17	5	172	3	4	15	1	20	6	21	10	2	5
S_77	1	1	1	1	1	0	7	6	22	6	4	1	5	1	0	7	9	3	98	2	3	7	1	15	4	14	5	0	4
S_78	3	2	1	1	0	2	3	2	14	4	3	1	1	0	0	2	5	6	34	2	2	5	0	6	3	5	2	0	2
S_79	6	1	1	1	1	1	6	3	7	5	6	1	3	2	0	5	9	2	56	1	1	6	0	11	3	8	8	0	3
S_7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S_80	3	8	1	1	1	1	12	10	38	8	7	1	10	2	1	9	10	4	165	0	4	14	1	19	10	21	9	3	3
S_81	0	2	1	1	0	0	11	6	11	4	5	1	3	1	0	8	6	3	55	3	2	7	0	17	2	10	3	1	0
S_82	1	2	1	0	1	0	6	2	14	6	4	1	3	0	1	1	10	2	39	0	1	4	0	6	2	9	3	1	2
S_83	1	4	1	1	2	0	9	7	20	2	4	1	7	2	1	9	6	5	55	4	4	8	0	14	6	13	6	0	1
S_84	2	7	2	3	1	5	14	9	38	8	11	1	11	2	1	7	11	4	153	3	3	13	1	23	9	22	8	4	3
S_85	7	15	1	1	10	2	17	12	45	15	12	2	12	3	2	17	19	11	198	3	5	18	1	41	10	27	9	4	10
