	S2.2016.N0	S2.2016.N400	S2.2017.N400	S5.2016.N0	S5.2016.N400	S5.2017.N0	S5.2017.N400
k127_10104609_S_bin.28_5	0	0	0	0	0	0	0	

k127_10104609_S_bin.28_6	0	0	0	0	0	0	0	

k127_10104609_S_bin.28_7	0	0	0	0	0	0	0	

k127_10104609_S_bin.28_8	0	0	0	0	0	0	0	

k127_10104609_S_bin.28_9	0	0	0	0	0	0	0	

k127_10104688_M_bin.47_1	0	0	0	0	0	0	0	

k127_10104688_M_bin.47_2	0	0	0	0	0	0	0	

k127_10104688_M_bin.47_3	0	0	0	0	0	0	0	

k127_10104688_M_bin.47_4	0	0	0	0	0	0	0	

k127_10115844_S_bin.117_1	0	0	0	0	0	0	0	

k127_10115844_S_bin.117_2	0	0	0	0	0	0	0	

k127_10115844_S_bin.117_3	0	0	0	0	0	0	0	

k127_10115844_S_bin.117_4	0	0	0	0	0	0	0	

k127_10115844_S_bin.117_5	0	0	0	0	0	0	0	

k127_10115844_S_bin.117_6	0	0	0	0	0	0	0	

k127_10115844_S_bin.117_7	0	0	0	0	0	0	0	

k127_10115844_S_bin.117_8	0	0	0	0	0	0	0	

k127_1011631_S_bin.61_1	0	0	0	0	0	0	0	

k127_1011631_S_bin.61_10	0	0	1	0	2	1	2	

k127_1011631_S_bin.61_11	0	0	0	0	0	0	0	

k127_1011631_S_bin.61_2	0	0	0	0	0	0	0	

k127_1011631_S_bin.61_3	0	0	0	0	0	0	0	

k127_1011631_S_bin.61_4	0	0	0	0	0	0	0	

k127_1011631_S_bin.61_5	0	0	0	0	0	0	0	

k127_1011631_S_bin.61_6	0	0	0	0	0	0	0	

k127_1011631_S_bin.61_7	0	0	0	0	0	0	0	

k127_1011631_S_bin.61_8	0	0	0	0	0	0	0	

k127_1011631_S_bin.61_9	0	0	0	0	0	0	1	

k127_10116858_M_bin.12_1	0	0	0	0	0	0	0	

k127_10116858_M_bin.12_10	0	0	0	0	0	0	0	

k127_10116858_M_bin.12_11	0	0	0	0	0	0	0	

k127_10116858_M_bin.12_2	0	0	0	0	0	0	0	

k127_10116858_M_bin.12_3	0	0	0	0	0	0	0	

k127_10116858_M_bin.12_4	0	0	0	0	0	0	0	

k127_10116858_M_bin.12_5	0	0	0	0	0	0	0	

k127_10116858_M_bin.12_6	0	0	0	0	0	0	0	

k127_10116858_M_bin.12_7	0	0	0	0	0	0	0	

k127_10116858_M_bin.12_8	0	0	0	0	0	0	0	

k127_10116858_M_bin.12_9	0	0	0	0	0	0	0	

k127_10117748_M_bin.67_1	0	0	0	0	0	0	0	

k127_10117748_M_bin.67_2	0	0	0	0	0	0	0	

k127_10117748_M_bin.67_3	0	0	0	0	0	0	0	

k127_10117748_M_bin.67_4	0	0	0	0	0	0	0	

k127_10118777_M_bin.50_1	0	0	0	0	0	0	0	

k127_10118777_M_bin.50_2	0	0	0	0	0	0	0	

k127_10118777_M_bin.50_3	0	0	0	0	0	0	0	

k127_10118777_M_bin.50_4	0	0	0	0	0	0	0	

k127_10118777_M_bin.50_5	0	0	0	0	0	0	0	

k127_10128592_M_bin.50_1	0	0	0	0	0	0	0	

k127_10128592_M_bin.50_10	0	0	0	0	0	0	0	

k127_10128592_M_bin.50_11	0	0	0	0	1	0	1	

k127_10128592_M_bin.50_12	1	2	2	0	2	1	1	

k127_10128592_M_bin.50_13	0	0	0	0	0	0	0	

k127_10128592_M_bin.50_2	0	0	0	0	0	0	0	

k127_10128592_M_bin.50_3	0	0	0	0	0	0	0	

k127_10128592_M_bin.50_4	0	0	0	0	0	0	0	

k127_10128592_M_bin.50_5	0	0	0	0	0	0	0	

k127_10128592_M_bin.50_6	0	0	0	0	0	0	0	

k127_10128592_M_bin.50_7	0	0	0	0	0	0	0	

k127_10128592_M_bin.50_8	0	1	0	0	0	0	0	

k127_10128592_M_bin.50_9	0	1	1	0	0	0	0	

k127_10130452_M_bin.50_1	1	0	1	0	0	1	1	

k127_10130452_M_bin.50_2	0	0	0	0	0	0	0	

k127_10130452_M_bin.50_3	0	0	0	0	0	0	0	

k127_10130452_M_bin.50_4	0	0	0	0	0	0	0	

k127_10130452_M_bin.50_5	0	0	0	0	0	0	0	

k127_10130452_M_bin.50_6	0	0	0	0	0	0	0	

k127_101334_M_bin.47_1	0	0	0	0	0	0	0	

k127_101334_M_bin.47_2	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_1	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_10	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_11	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_12	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_2	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_3	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_4	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_5	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_6	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_7	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_8	0	0	0	0	0	0	0	

k127_10134304_M_bin.64_9	0	0	0	0	0	0	0	

k127_10134860_M_bin.50_1	0	0	0	0	0	0	0	

k127_10134860_M_bin.50_2	1	0	0	0	0	0	0	

k127_10134860_M_bin.50_3	0	0	0	0	0	0	0	

k127_10134860_M_bin.50_4	0	0	0	0	0	0	0	

k127_10134860_M_bin.50_5	0	0	1	0	0	0	0	

k127_10134860_M_bin.50_6	0	2	1	1	0	0	0	

k127_10134860_M_bin.50_7	0	0	0	0	0	0	0	

k127_10134860_M_bin.50_8	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_1	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_10	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_11	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_12	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_13	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_14	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_15	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_16	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_17	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_18	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_19	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_2	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_20	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_21	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_22	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_23	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_24	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_25	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_26	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_27	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_28	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_3	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_4	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_5	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_6	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_7	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_8	0	0	0	0	0	0	0	

k127_10137918_M_bin.47_9	0	0	0	0	0	0	0	

k127_1014085_S_bin.27_1	0	0	1	0	0	0	0	

k127_1014085_S_bin.27_10	0	0	0	0	0	0	0	

k127_1014085_S_bin.27_2	0	0	0	0	0	0	0	

k127_1014085_S_bin.27_3	0	0	0	0	0	0	0	

k127_1014085_S_bin.27_4	0	0	0	0	0	0	0	

k127_1014085_S_bin.27_5	0	0	0	0	0	0	0	

k127_1014085_S_bin.27_6	0	0	0	0	0	0	0	

k127_1014085_S_bin.27_7	0	0	0	0	0	0	0	

k127_1014085_S_bin.27_8	0	0	0	0	0	0	0	

k127_1014085_S_bin.27_9	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_1	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_10	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_11	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_12	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_13	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_14	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_15	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_16	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_17	0	1	0	0	0	0	0	

k127_10144664_M_bin.52_2	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_3	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_4	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_5	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_6	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_7	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_8	0	0	0	0	0	0	0	

k127_10144664_M_bin.52_9	0	0	0	0	0	0	0	

k127_1014820_M_bin.12_1	0	0	0	0	0	0	0	

k127_1014820_M_bin.12_2	0	0	0	0	0	0	0	

k127_1014820_M_bin.12_3	0	0	0	0	0	0	0	

k127_1014820_M_bin.12_4	0	0	0	0	0	0	0	

k127_1014820_M_bin.12_5	0	0	0	0	0	0	0	

k127_10150971_M_bin.105_1	0	0	0	0	0	0	0	

k127_10150971_M_bin.105_2	0	0	0	0	0	0	0	

k127_10150971_M_bin.105_3	0	0	0	0	0	0	0	

k127_10150971_M_bin.105_4	0	0	0	0	0	0	0	

k127_10150971_M_bin.105_5	0	0	0	0	0	0	0	

k127_10150971_M_bin.105_6	0	0	0	0	0	0	0	

k127_10150971_M_bin.105_7	0	0	0	0	0	0	0	

k127_10165321_M_bin.64_1	0	0	0	0	0	0	0	

k127_10165321_M_bin.64_10	0	0	0	0	0	0	0	

k127_10165321_M_bin.64_2	0	0	0	0	0	0	0	

k127_10165321_M_bin.64_3	0	0	0	0	0	0	0	

k127_10165321_M_bin.64_4	0	0	0	0	0	0	0	

k127_10165321_M_bin.64_5	0	0	0	0	0	0	0	

k127_10165321_M_bin.64_6	0	0	0	0	0	0	0	

k127_10165321_M_bin.64_7	0	0	0	0	0	0	0	

k127_10165321_M_bin.64_8	0	0	0	0	0	0	0	

k127_10165321_M_bin.64_9	0	0	0	0	0	0	0	

k127_10165537_M_bin.105_1	0	0	0	0	0	0	0	

k127_10165537_M_bin.105_2	0	0	0	0	0	0	0	

k127_10165537_M_bin.105_3	0	0	0	0	0	0	0	

k127_10165537_M_bin.105_4	0	0	0	0	0	0	0	

k127_10167367_M_bin.52_1	0	0	0	0	0	0	0	

k127_10167367_M_bin.52_2	0	0	0	0	0	0	0	

k127_10167367_M_bin.52_3	0	0	0	0	0	0	0	

k127_10167367_M_bin.52_4	0	0	0	0	0	0	0	

k127_10167367_M_bin.52_5	0	0	0	0	0	0	0	

k127_10167367_M_bin.52_6	0	0	0	0	0	0	0	

k127_10167367_M_bin.52_7	0	0	0	0	0	0	0	

k127_10167367_M_bin.52_8	0	0	0	0	0	0	0	

k127_10169389_M_bin.8_1	0	0	0	0	0	0	0	

k127_10169389_M_bin.8_2	0	0	0	0	0	0	0	

k127_10169389_M_bin.8_3	0	0	0	0	0	0	0	

k127_10169389_M_bin.8_4	0	0	0	0	0	0	0	

k127_10169389_M_bin.8_5	0	0	0	0	0	0	0	

k127_10169389_M_bin.8_6	0	0	0	0	0	0	0	

k127_10169389_M_bin.8_7	0	0	0	0	0	0	0	

k127_10181983_M_bin.8_1	0	0	0	0	0	0	0	

k127_10181983_M_bin.8_2	0	0	0	0	0	0	0	

k127_10181983_M_bin.8_3	0	0	0	0	0	0	0	

k127_10187612_M_bin.8_1	0	0	0	0	0	0	0	

k127_10187612_M_bin.8_2	0	0	0	0	0	0	0	

k127_10187612_M_bin.8_3	0	0	0	0	0	0	0	

k127_10187612_M_bin.8_4	0	0	0	0	0	0	0	

k127_10187612_M_bin.8_5	0	0	0	0	0	0	0	

k127_10187612_M_bin.8_6	0	0	0	0	0	0	0	

k127_10187612_M_bin.8_7	0	0	0	0	0	0	0	

k127_10187612_M_bin.8_8	0	0	0	0	0	0	0	

k127_1020522_M_bin.21_1	0	0	0	0	0	0	0	

k127_1020522_M_bin.21_2	0	0	0	0	0	0	0	

k127_1020522_M_bin.21_3	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_1	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_10	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_11	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_2	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_3	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_4	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_5	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_6	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_7	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_8	0	0	0	0	0	0	0	

k127_10216757_M_bin.52_9	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_1	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_10	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_11	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_12	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_13	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_14	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_15	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_16	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_17	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_18	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_19	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_2	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_20	6	5	7	7	4	7	9	

k127_10223912_M_bin.8_21	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_22	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_23	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_24	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_25	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_3	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_4	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_5	1	1	0	0	0	0	0	

k127_10223912_M_bin.8_6	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_7	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_8	0	0	0	0	0	0	0	

k127_10223912_M_bin.8_9	0	0	0	0	0	0	0	

k127_10228209_M_bin.105_1	0	0	0	0	0	0	0	

k127_10228209_M_bin.105_2	0	0	0	0	0	0	0	

k127_10228209_M_bin.105_3	0	0	0	0	0	0	0	

k127_10228209_M_bin.105_4	0	0	0	0	0	0	0	

k127_10228209_M_bin.105_5	0	0	0	0	0	0	0	

k127_10237712_M_bin.50_1	0	0	0	0	0	0	0	

k127_10237712_M_bin.50_2	0	0	0	0	0	0	0	

k127_10237712_M_bin.50_3	1	1	1	0	0	1	0	

k127_10237712_M_bin.50_4	0	0	0	0	0	0	0	

k127_10237712_M_bin.50_5	0	0	0	0	0	0	0	

k127_10237712_M_bin.50_6	0	0	0	0	0	0	0	

k127_10237712_M_bin.50_7	0	0	0	0	0	0	0	

k127_10237712_M_bin.50_8	0	0	0	0	0	0	0	

k127_102393_M_bin.105_1	0	0	0	0	0	0	0	

k127_102393_M_bin.105_2	0	0	0	0	0	0	0	

k127_102393_M_bin.105_3	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_1	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_10	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_11	0	1	0	0	0	0	0	

k127_10245198_M_bin.50_12	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_13	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_2	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_3	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_4	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_5	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_6	0	1	0	2	0	0	0	

k127_10245198_M_bin.50_7	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_8	0	0	0	0	0	0	0	

k127_10245198_M_bin.50_9	0	0	0	0	0	0	0	

k127_10245360_M_bin.50_1	0	0	0	0	0	0	0	

k127_10245360_M_bin.50_2	0	0	0	0	0	0	0	

k127_10245360_M_bin.50_3	0	0	0	0	0	0	0	

