	S2.2016.N0	S2.2016.N400	S2.2017.N400	S5.2016.N0	S5.2016.N400	S5.2017.N0	S5.2017.N400
k127_10001124_M_bin.35_1	0	0	0	0	0	0	0	

k127_10001124_M_bin.35_2	0	0	0	0	0	0	0	

k127_10001124_M_bin.35_3	0	0	0	0	0	0	0	

k127_10001124_M_bin.35_4	0	0	0	0	0	0	0	

k127_10008380_M_bin.50_1	0	0	0	0	0	0	0	

k127_10008380_M_bin.50_2	0	0	0	0	0	0	0	

k127_10008380_M_bin.50_3	0	0	0	0	0	0	0	

k127_10018141_M_bin.50_1	0	0	0	0	0	0	0	

k127_10018141_M_bin.50_2	0	0	0	0	0	0	0	

k127_10018141_M_bin.50_3	0	0	0	0	0	0	0	

k127_10018141_M_bin.50_4	0	0	0	0	0	0	0	

k127_10021830_M_bin.50_1	11	10	5	5	8	9	4	

k127_10021830_M_bin.50_10	0	0	0	0	0	0	0	

k127_10021830_M_bin.50_11	2	1	0	4	1	1	1	

k127_10021830_M_bin.50_12	18	18	26	7	11	15	14	

k127_10021830_M_bin.50_13	0	0	0	0	0	0	0	

k127_10021830_M_bin.50_14	4	5	3	6	2	7	3	

k127_10021830_M_bin.50_15	0	0	2	2	1	0	1	

k127_10021830_M_bin.50_16	0	0	2	2	0	0	0	

k127_10021830_M_bin.50_17	3	10	5	4	4	7	3	

k127_10021830_M_bin.50_2	3	6	1	4	3	5	4	

k127_10021830_M_bin.50_3	15	13	31	10	5	6	13	

k127_10021830_M_bin.50_4	1	5	4	3	2	2	0	

k127_10021830_M_bin.50_5	0	0	0	0	0	0	0	

k127_10021830_M_bin.50_6	4	3	7	3	1	2	5	

k127_10021830_M_bin.50_7	0	0	0	2	0	0	0	

k127_10021830_M_bin.50_8	0	0	1	0	0	0	0	

k127_10021830_M_bin.50_9	6	8	5	4	3	6	3	

k127_10029428_M_bin.64_1	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_10	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_11	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_12	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_2	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_3	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_4	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_5	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_6	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_7	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_8	0	0	0	0	0	0	0	

k127_10029428_M_bin.64_9	0	0	0	0	0	0	0	

k127_10031375_M_bin.52_1	0	0	0	0	0	0	0	

k127_10031375_M_bin.52_2	0	0	0	0	0	0	0	

k127_10031375_M_bin.52_3	0	0	0	0	0	0	0	

k127_10031375_M_bin.52_4	0	0	0	0	0	0	0	

k127_10031375_M_bin.52_5	0	0	0	0	0	0	0	

k127_10040614_M_bin.8_1	0	0	0	0	0	0	0	

k127_10042250_M_bin.105_1	0	0	0	0	0	0	0	

k127_10042250_M_bin.105_2	0	0	0	0	0	0	0	

k127_10042250_M_bin.105_3	0	0	0	0	0	0	0	

k127_10044687_M_bin.35_1	0	0	0	0	0	0	0	

k127_10044687_M_bin.35_2	0	0	0	0	0	0	0	

k127_10048096_M_bin.8_1	0	0	0	0	0	0	0	

k127_10048096_M_bin.8_2	0	0	0	0	0	0	0	

k127_10048096_M_bin.8_3	0	0	0	0	0	0	0	

k127_10048096_M_bin.8_4	0	0	0	0	0	0	0	

k127_10048096_M_bin.8_5	0	0	0	0	0	0	0	

k127_10048096_M_bin.8_6	0	0	0	0	0	0	0	

k127_10048096_M_bin.8_7	0	0	0	0	0	0	0	

k127_10048096_M_bin.8_8	0	0	0	0	0	0	0	

k127_10048096_M_bin.8_9	0	0	0	0	0	0	0	

k127_10070888_S_bin.117_1	0	0	0	0	0	0	0	

k127_10070888_S_bin.117_2	0	0	0	0	0	0	0	

k127_10070888_S_bin.117_3	0	0	0	0	0	0	0	

k127_10070888_S_bin.117_4	0	0	0	0	0	0	0	

k127_10070888_S_bin.117_5	0	0	0	0	0	0	0	

k127_10070888_S_bin.117_6	0	0	0	0	0	0	0	

k127_10070888_S_bin.117_7	0	0	0	0	0	0	0	

k127_10071004_M_bin.60_1	0	0	0	0	0	0	0	

k127_10071004_M_bin.60_2	0	0	0	0	0	0	0	

k127_10071004_M_bin.60_3	0	0	0	0	0	0	0	

k127_10071004_M_bin.60_4	0	0	0	0	0	0	0	

k127_10071004_M_bin.60_5	0	0	0	0	0	0	0	

k127_10071004_M_bin.60_6	0	0	0	0	0	0	0	

k127_10072744_M_bin.12_1	0	0	0	0	0	0	0	

k127_10072744_M_bin.12_2	0	0	0	0	0	0	0	

k127_10072744_M_bin.12_3	0	0	0	0	0	0	0	

k127_10073310_M_bin.67_1	0	0	0	0	0	0	0	

k127_10073310_M_bin.67_2	0	0	0	0	0	0	0	

k127_10073310_M_bin.67_3	0	0	0	0	0	0	0	

k127_10073310_M_bin.67_4	0	0	0	0	0	0	0	

k127_10073310_M_bin.67_5	0	0	0	0	0	0	0	

k127_10073310_M_bin.67_6	0	0	0	0	0	0	0	

k127_10073637_M_bin.47_1	0	0	0	0	0	0	0	

k127_10073637_M_bin.47_2	0	0	0	0	0	0	0	

k127_10073637_M_bin.47_3	0	0	0	0	0	0	0	

k127_10073762_M_bin.47_1	0	0	0	0	0	0	0	

k127_10073762_M_bin.47_2	0	0	0	0	0	0	0	

k127_10073762_M_bin.47_3	0	0	0	0	0	0	0	

k127_10073762_M_bin.47_4	0	0	0	0	0	0	0	

k127_10073762_M_bin.47_5	0	0	0	0	0	0	0	

k127_10073762_M_bin.47_6	0	0	0	0	0	0	0	

k127_10076175_M_bin.35_1	0	0	0	0	0	0	0	

k127_10076175_M_bin.35_2	0	0	0	0	0	0	0	

k127_10076175_M_bin.35_3	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_1	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_10	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_11	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_12	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_2	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_3	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_4	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_5	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_6	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_7	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_8	0	0	0	0	0	0	0	

k127_10078365_M_bin.64_9	0	0	0	0	0	0	0	

k127_10082029_M_bin.105_1	0	0	0	0	0	0	0	

k127_10082029_M_bin.105_2	0	0	0	0	0	0	0	

k127_10082029_M_bin.105_3	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_1	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_10	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_11	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_12	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_13	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_14	4	4	2	3	3	2	2	

k127_10085762_M_bin.105_15	2	5	1	3	2	1	1	

k127_10085762_M_bin.105_2	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_3	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_4	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_5	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_6	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_7	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_8	0	0	0	0	0	0	0	

k127_10085762_M_bin.105_9	0	0	0	0	0	0	0	

k127_10088664_S_bin.27_1	0	0	0	0	0	0	0	

k127_10088664_S_bin.27_2	0	0	0	0	0	0	0	

k127_10088664_S_bin.27_3	0	0	0	0	0	0	0	

k127_10088664_S_bin.27_4	0	0	0	0	0	0	0	

k127_10088664_S_bin.27_5	0	0	0	0	0	0	0	

k127_10090562_M_bin.50_1	0	0	0	0	0	0	0	

k127_10090562_M_bin.50_2	0	0	0	0	0	0	0	

k127_10090562_M_bin.50_3	0	0	0	0	0	0	0	

k127_10090562_M_bin.50_4	0	0	0	0	0	0	0	

k127_10090562_M_bin.50_5	0	0	0	0	0	0	0	

k127_10090562_M_bin.50_6	0	0	0	0	0	0	0	

k127_10090562_M_bin.50_7	1	1	2	1	0	1	0	

k127_10090562_M_bin.50_8	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_1	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_10	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_11	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_12	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_13	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_14	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_15	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_16	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_17	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_18	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_19	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_2	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_20	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_21	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_22	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_23	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_24	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_3	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_4	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_5	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_6	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_7	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_8	0	0	0	0	0	0	0	

k127_10091203_S_bin.28_9	0	0	0	0	0	0	0	

k127_10094816_M_bin.105_1	0	0	0	0	0	0	0	

k127_10094816_M_bin.105_2	0	0	0	0	0	0	0	

k127_10094816_M_bin.105_3	0	0	0	0	0	0	0	

k127_10094816_M_bin.105_4	0	0	0	0	0	0	0	

k127_10094816_M_bin.105_5	0	0	0	0	0	0	0	

k127_10104609_S_bin.28_1	0	0	0	0	0	0	0	

k127_10104609_S_bin.28_10	0	0	0	0	0	0	0	

k127_10104609_S_bin.28_11	0	0	0	0	0	0	0	

k127_10104609_S_bin.28_2	0	0	0	0	0	0	0	

k127_10104609_S_bin.28_3	0	0	0	0	0	0	0	

k127_10104609_S_bin.28_4	0	0	0	0	0	0	0	

